"1","Financial Year","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-12-2020"
"2","Sales/Revenue","66,140.50","67,879.09","67,004.58","57,173.66","61,938.10","57,633.00","61,035.85","97,244.04","96,876.09","91,516.84"
"3","Pretax Income","73,672.32","46,886.61","24,250.17","107,249.26","59,682.58","40,541.18","74,253.93","87,114.04","40,984.57","(7,399.87)"
"4","Net Income","73,672.32","46,886.61","24,250.17","107,249.26","59,682.58","40,541.18","74,253.93","81,250.46","35,494.13","(7,399.87)"
"5","Cash & Short-Term Investments","92,280.15","91,560.68","107,080.96","103,649.75","134,992.33","44,122.07","217,919.81","55,337.97","58,288.78","51,770.52"
"6","Cash Only","3.61","2.24","2,467.85","2,186.33","-","230.20","254.49","2,061.94","12,981.87","-"
"7","Total Accounts Receivables","3,432.45","1,718.47","38,424.83","1,531.13","3,510.71","9,369.97","2,742.86","6,503.52","5,922.06","11,503.35"
"8","Net Property, Plant & Equipment","944,760.00","952,476.98","-","-","-","-","-","-","-","-"
"9","Short Term Debt","-","-","-","364,146.84","-","25,000.00","25,000.00","-","-","33,865.51"
"10","Long Term Debt","363,260.67","363,556.06","363,851.45","-","364,230.00","290,150.00","738,131.69","670,484.12","482,639.88","609,698.08"
"11","Net Operating Cash Flow","55,083.75","63,966.24","55,448.49","87,504.53","47,759.65","53,555.57","43,204.54","74,612.43","68,161.18","44,566.77"
"12","Capital Expenditures","-","(4,216.98)","-","-","-","-","-","-","-","-"
"13","Total Shares Outstanding (million)","573,220.00","573,220.00","573,219.86","573,219.86","573,219.86","573,219.86","573,219.86","573,219.86","573,219.86","573,219.86"
