"1","Financial Year","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       Other","31-12-2020       Other","31-03-2021       Other","30-06-2021       Other","30-09-2021       1","31-12-2021       2"
"2","Sales/Revenue","86,415.00","110,592.00","109,382.00","62,306.00","96,683.00","110,859.00","110,943.00","93,864.00","106,210.00","150,083.00"
"3","Pretax Income","(557.00)","29,709.00","6,186.00","28,030.00","14,844.00","11,635.00","8,637.00","98,479.00","7,356.00","10,529.00"
"4","Net Income","(1,010.00)","27,584.00","4,931.00","28,448.00","12,708.00","7,763.00","5,503.00","96,191.00","4,465.00","6,183.00"
"5","Cash & Short-Term Investments","85,633.00","145,627.00","121,267.00","193,683.00","224,492.00","216,985.00","226,799.00","423,088.00","370,204.00","409,438.00"
"6","Total Accounts Receivables","48,726.00","47,439.00","58,268.00","44,015.00","50,948.00","58,437.00","67,209.00","40,551.00","61,244.00","76,520.00"
"7","Inventories","6,444.00","4,821.00","7,915.00","5,972.00","4,133.00","3,133.00","4,477.00","4,236.00","7,727.00","5,563.00"
"8","Net Property, Plant & Equipment","284,554.00","277,664.00","276,078.00","256,888.00","258,395.00","256,000.00","251,687.00","154,006.00","147,511.00","146,216.00"
"9","Short Term Debt","20,370.00","33,811.00","23,927.00","11,973.00","11,914.00","5,893.00","5,927.00","38,726.00","4,810.00","44,621.00"
"10","Long Term Debt","108,521.00","73,513.00","71,959.00","73,082.00","72,648.00","70,158.00","69,792.00","3,371.00","2,893.00","3,537.00"
"11","Net Operating Cash Flow","10,117.00","12,051.00","(12,618.00)","2,670.00","25,101.00","5,648.00","37,190.00","29,641.00","(19,151.00)","11,198.00"
"12","Capital Expenditures","(3,016.00)","(5,491.00)","(2,942.00)","(1,385.00)","(6,694.00)","(2,540.00)","(18,554.00)","(20,527.00)","(825.00)","(2,989.00)"
"13","Total Shares Outstanding (million)","-","556,465.00","556,465.00","556,465.00","556,465.00","556,465.00","556,465.00","556,465.00","556,465.00","556,465.00"
