"1","Financial Year","31-05-2016","31-05-2017","31-05-2018","31-05-2019","31-05-2020","31-05-2021","28-02-2022       TTM","","",""
"2","Sales/Revenue","46,923.00","49,360.00","50,294.00","49,128.71","41,738.00","62,417.00","53,381.00","","",""
"3","Pretax Income","9,800.00","12,081.00","18,624.00","8,727.47","8,424.00","16,182.00","8,977.00","","",""
"4","Net Income","7,420.00","9,288.00","15,160.00","6,394.59","6,041.00","11,859.00","6,436.00","","",""
"5","Cash & Short-Term Investments","7,495.00","13,725.00","18,027.00","48,789.72","50,235.00","56,312.00","53,324.00","","",""
"6","Cash Only","7,495.00","13,725.00","12,946.00","13,072.16","9,337.00","14,531.00","11,947.50","","",""
"7","Total Accounts Receivables","16,414.00","9,509.00","9,723.00","10,820.81","9,716.00","10,387.00","10,728.50","","",""
"8","Inventories","5,070.00","6,922.00","8,974.00","8,750.95","9,782.00","13,201.00","13,244.25","","",""
"9","Net Property, Plant & Equipment","6,916.00","6,326.00","5,724.00","8,233.93","8,730.00","10,424.00","12,236.75","","",""
"10","Short Term Debt","-","-","-","-","141.00","40.00","40.00","","",""
"11","Long Term Debt","-","-","-","-","13.00","29.00","25.75","","",""
"12","Net Operating Cash Flow","9,013.00","13,425.00","5,217.00","3,742.64","4,148.00","11,634.00","530.00","","",""
"13","Capital Expenditures","(155.00)","(295.00)","(109.00)","(2,904.39)","(856.00)","(2,272.00)","(6,345.00)","","",""
"14","Total Shares Outstanding (million)","486,731.00","486,731.00","486,731.00","486,731.00","486,731.00","730,091.63","730,092.85","486,731.00","224,720.02","224,720.02"
