"1","Financial Year","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-12-2020","",""
"2","Sales/Revenue","64,394.43","77,578.16","74,123.31","90,180.03","106,765.70","113,515.49","124,487.31","119,393.77","",""
"3","Pretax Income","4,276.90","13,307.76","19,251.34","25,267.78","30,482.20","32,793.16","40,923.05","49,017.25","",""
"4","Net Income","7,173.56","13,437.14","19,082.40","21,566.63","28,831.19","35,840.14","39,758.57","41,817.08","",""
"5","Cash & Short-Term Investments","13,456.93","19,811.60","12,337.86","33,162.38","25,849.77","24,125.39","75,777.61","22,116.09","",""
"6","Cash Only","13,456.93","19,811.60","12,337.86","33,162.38","25,849.77","24,125.39","75,777.61","11,836.90","",""
"7","Total Accounts Receivables","3,443.77","4,777.60","11,935.23","23,882.42","24,514.98","41,118.14","29,445.23","46,983.95","",""
"8","Inventories","547.52","1,143.02","1,064.46","894.91","1,059.78","1,005.26","1,010.87","871.13","",""
"9","Net Property, Plant & Equipment","173,639.52","210,265.42","225,992.76","248,467.22","325,360.90","424,339.14","537,397.65","567,717.99","",""
"10","Short Term Debt","16,074.12","4,518.24","21,940.17","31,125.36","43,142.83","45,912.26","18,488.69","31,049.21","",""
"11","Long Term Debt","81,384.42","96,804.16","98,438.20","89,318.14","126,642.77","161,392.93","282,923.21","194,826.30","",""
"12","Net Operating Cash Flow","10,070.31","21,485.62","30,054.57","23,243.10","40,719.56","27,211.16","62,636.98","57,547.62","",""
"13","Capital Expenditures","(41,852.20)","(13,805.98)","(28,659.42)","(49,785.19)","(79,994.72)","(81,353.34)","(79,864.62)","(119,241.16)","",""
"14","Total Shares Outstanding (million)","550,519.20","550,519.75","778,219.98","1,257,244.06","1,257,399.30","1,422,780.35","1,421,780.35","634,733.57","1,257,399.30","708,397.15"
