"1","Financial Year","31-12-2018       4","31-03-2019       1","30-06-2019       2","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       1"
"2","Sales/Revenue","40,081.73","12,643.00","35,393.00","24,187.00","19,177.96","22,187.00","20,259.00","13,256.00","18,634.95","11,656.00"
"3","Pretax Income","(263.44)","(71.00)","371.00","152.00","(410.80)","(94.00)","49.00","12.00","505.41","121.00"
"4","Net Income","(84.47)","(161.00)","268.00","19.00","(387.78)","(105.00)","19.00","35.00","729.86","186.00"
"5","Cash & Short-Term Investments","7,009.25","15,637.00","7,635.00","3,820.00","10,827.00","3,154.00","3,930.00","13,755.00","14,408.90","15,574.00"
"6","Cash Only","2,961.19","15,637.00","7,635.00","3,820.00","10,827.00","3,154.00","3,930.00","13,755.00","14,408.90","15,574.00"
"7","Total Accounts Receivables","19,134.57","9,535.00","19,617.00","20,820.00","14,656.00","20,056.00","19,862.00","13,034.00","13,582.95","15,620.00"
"8","Inventories","152.01","151.00","170.00","164.00","155.00","150.00","221.00","140.00","64.53","46.00"
"9","Net Property, Plant & Equipment","436.67","405.00","343.00","305.00","624.00","567.00","506.00","663.00","687.87","669.00"
"10","Short Term Debt","82.39","53.00","24.00","8.00","34.00","26.00","17.00","18.00","50.16","93.00"
"11","Long Term Debt","46.40","46.00","46.00","46.00","12.00","12.00","12.00","118.00","67.49","67.00"
"12","Net Operating Cash Flow","1,666.76","9,035.00","(7,183.00)","(3,292.00)","7,760.00","(7,272.00)","344.00","9,013.00","1,036.25","3,106.00"
"13","Capital Expenditures","(142.01)","(378.00)","(797.00)","(348.00)","(742.00)","(291.00)","(273.00)","(365.00)","(274.27)","(132.00)"
"14","Total Shares Outstanding (million)","345,249.80","345,249.80","345,249.80","345,249.80","345,249.80","340,737.90","341,367.90","354,302.50","357,751.40","355,891.00"
