"1","Financial Year","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       1","30-06-2021       2","30-09-2021       3","31-12-2021       4"
"2","Sales/Revenue","235,017.43","239,234.73","231,491.20","96,047.78","191,977.17","216,474.49","193,462.83","174,139.38","81,800.79","207,630.93"
"3","Pretax Income","2,548.76","(2,170.32)","853.11","(1,587.85)","2,548.12","(8,333.72)","3,618.53","2,499.72","(832.79)","12,531.62"
"4","Net Income","1,510.37","(201.46)","409.33","(1,631.33)","1,946.87","(10,456.95)","2,437.80","1,831.28","(856.10)","10,418.81"
"5","Cash & Short-Term Investments","31,065.62","47,912.55","36,414.56","29,492.36","45,676.79","32,681.45","43,870.35","43,051.41","49,392.10","64,723.29"
"6","Total Accounts Receivables","250,495.96","226,249.30","213,945.07","185,594.38","202,448.37","191,435.11","209,280.51","203,120.55","176,232.09","200,181.19"
"7","Inventories","115,760.58","97,740.86","92,078.79","91,352.20","93,129.95","92,024.34","92,054.87","109,288.70","101,671.38","97,949.28"
"8","Net Property, Plant & Equipment","70,127.36","82,352.65","83,020.38","81,994.18","80,976.55","79,965.26","77,704.50","77,045.94","76,071.33","75,117.61"
"9","Short Term Debt","171,526.64","170,033.04","136,526.82","108,933.00","125,988.90","118,079.92","133,044.62","139,956.21","114,559.84","142,338.74"
"10","Long Term Debt","39,835.16","36,854.29","34,752.50","33,441.69","32,448.58","31,175.89","28,341.90","26,503.38","24,883.23","23,572.68"
"11","Net Operating Cash Flow","181.10","19,082.88","(9,156.79)","(4,886.08)","17,390.20","(11,725.95)","13,421.75","1,118.89","9,037.41","5,500.14"
"12","Capital Expenditures","(168.26)","(432.27)","(89.57)","(2.86)","(6.80)","(10.15)","(15.14)","(14.18)","(5.09)","(15.74)"
"13","Total Shares Outstanding (million)","147,827.16","147,827.16","147,827.16","147,827.16","147,827.16","147,827.16","147,827.16","147,827.16","147,827.16","147,827.16"
