"1","Financial Year","30-09-2019       2","31-12-2019       3","31-03-2020       4","30-06-2020       1","30-09-2020       2","31-12-2020       Other","31-03-2021       Other","30-06-2021       Other","30-09-2021       1","31-12-2021       2"
"2","Sales/Revenue","21,621.00","29,818.00","22,965.28","14,233.00","19,515.00","17,788.00","19,463.00","19,580.89","3,897.00","16,611.00"
"3","Pretax Income","(1,370.00)","346.00","(2,594.93)","(942.00)","(1,701.00)","(1,589.00)","(372.00)","(692.87)","(1,731.00)","(1,576.00)"
"4","Net Income","(1,307.00)","(381.00)","(1,926.80)","(978.00)","(1,930.00)","(1,653.00)","(792.00)","(178.62)","(1,765.00)","(1,930.00)"
"5","Cash & Short-Term Investments","4,639.00","5,353.00","3,963.00","5,605.00","5,841.00","6,920.00","6,214.00","4,945.00","4,602.00","5,970.00"
"6","Cash Only","2,997.00","3,688.00","2,294.00","3,933.00","4,762.00","5,823.00","5,117.00","3,848.00","3,505.00","4,862.00"
"7","Total Accounts Receivables","8,680.00","7,996.00","8,003.00","7,611.00","7,439.00","6,688.00","6,910.00","4,946.00","6,697.00","6,437.00"
"8","Inventories","122,208.00","123,678.00","132,221.00","130,283.00","121,936.00","118,132.00","111,494.00","102,819.00","102,639.00","97,231.00"
"9","Net Property, Plant & Equipment","119,044.00","118,204.00","126,195.00","125,595.00","124,583.00","123,485.00","121,099.00","125,165.00","125,101.00","119,239.00"
"10","Short Term Debt","35,278.00","36,367.00","45,582.00","41,961.00","39,015.00","38,148.00","33,563.00","26,706.00","25,430.00","21,416.00"
"11","Long Term Debt","-","43,872.00","50,945.00","51,735.00","51,988.00","52,235.00","49,362.00","43,827.00","44,148.00","43,713.00"
"12","Net Operating Cash Flow","(176.00)","1,472.00","(5,892.00)","5,446.00","3,716.00","2,153.00","5,907.00","(481.00)","(4,632.00)","6,048.00"
"13","Capital Expenditures","(5.00)","(72.00)","(66.00)","(11.00)","(49.00)","(61.00)","5.00","(152.00)","(80.00)","(199.00)"
"14","Total Shares Outstanding (million)","-","197,990.00","197,990.00","197,990.00","197,990.00","197,990.00","197,990.00","197,990.00","197,990.00","197,990.00"
