"1","Financial Year","30-06-2019       Other","30-09-2019       1","31-12-2019       2","31-03-2020       3","30-06-2020       4","30-09-2020       1","31-12-2020       2","31-03-2021       3","30-06-2021       4","30-09-2021       1"
"2","Sales/Revenue","32,466.00","56,906.00","44,126.00","37,557.00","39,317.00","36,203.00","40,111.00","44,161.00","54,198.00","38,522.00"
"3","Pretax Income","9,165.00","10,624.00","8,055.00","5,519.00","(4,507.00)","7,946.00","9,489.00","9,626.00","15,010.00","12,452.00"
"4","Net Income","7,133.00","8,068.00","5,678.00","1,051.00","(8,187.00)","5,663.00","7,123.00","6,144.00","7,356.00","8,037.00"
"5","Cash & Short-Term Investments","66,874.00","55,575.00","43,464.00","82,575.00","102,644.00","96,250.00","92,090.00","106,936.00","92,451.00","99,826.00"
"6","Cash Only","51,760.00","48,004.00","43,014.00","45,189.00","44,039.00","41,820.00","42,050.00","38,255.00","42,449.00","32,972.00"
"7","Total Accounts Receivables","118,611.00","149,615.00","163,063.00","129,344.00","114,898.00","115,481.00","118,410.00","95,730.00","134,649.00","133,190.00"
"8","Inventories","349.00","323.00","289.00","478.00","547.00","617.00","634.00","686.00","663.00","670.00"
"9","Net Property, Plant & Equipment","14,330.00","20,628.00","21,114.00","20,360.00","23,450.00","20,890.00","19,362.00","19,481.00","18,000.00","17,869.00"
"10","Accrued Payable","-","-","70,421.00","69,709.00","65,100.00","-","-","51,657.00","74,711.00","-"
"11","Short Term Debt","217.00","2,922.00","3,077.00","3,247.00","6,825.00","5,589.00","9,725.00","5,790.00","5,153.00","5,355.00"
"12","Long Term Debt","1,543.00","5,874.00","6,527.00","5,955.00","5,793.00","5,591.00","4,511.00","4,340.00","3,684.00","3,633.00"
"13","Net Operating Cash Flow","(10,459.00)","(10,674.00)","(1,226.00)","40,191.00","29,751.00","2,323.00","11,212.00","21,438.00","(12,608.00)","9,517.00"
"14","Capital Expenditures","3.00","(44.00)","(319.00)","(124.00)","(23.00)","(31.00)","(546.00)","(154.00)","(192.00)","(147.00)"
"15","Total Shares Outstanding (million)","748,977.93","749,303.81","749,753.13","772,951.89","772,951.89","772,951.89","772,951.89","772,951.89","772,951.89","772,951.89"
