"1","Financial Year","31-10-2019       3","31-01-2020       4","30-04-2020       1","31-07-2020       2","31-10-2020       3","31-01-2021       Other","31-03-2021       Other","30-06-2021       1","30-09-2021       2","31-12-2021       3"
"2","Sales/Revenue","72,914.00","82,398.00","39,310.00","70,161.00","78,910.00","87,830.00","34,618.00","61,279.00","79,686.00","94,661.00"
"3","Pretax Income","12,649.00","10,349.00","4,014.00","11,634.00","16,089.00","16,975.00","10,601.00","12,487.00","2,192.00","6,493.00"
"4","Net Income","10,257.00","6,758.00","3,726.00","8,741.00","10,649.00","14,294.00","11,334.00","11,794.00","133.00","4,643.00"
"5","Cash & Short-Term Investments","250,962.00","275,582.00","265,685.00","247,856.00","233,077.00","236,730.00","376,959.00","359,394.00","343,608.00","339,327.00"
"6","Cash Only","119,917.00","241,915.00","147,482.00","117,900.00","136,598.00","201,116.00","-","-","255,234.00","242,794.00"
"7","Total Accounts Receivables","236,917.00","217,156.00","194,170.00","205,757.00","208,469.00","218,710.00","201,501.00","196,601.00","198,078.00","252,126.00"
"8","Inventories","56,190.00","50,831.00","50,855.00","45,636.00","40,979.00","52,850.00","60,562.00","66,366.00","78,485.00","89,560.00"
"9","Net Property, Plant & Equipment","121,382.00","126,729.00","127,252.00","130,214.00","130,544.00","130,500.00","130,792.00","131,268.00","132,164.00","132,495.00"
"10","Accrued Payable","180,219.00","186,814.00","153,118.00","132,128.00","97,365.00","110,377.00","99,302.00","91,154.00","93,954.00","121,579.00"
"11","Short Term Debt","72,732.00","64,107.00","66,517.00","70,098.00","73,858.00","81,814.00","88,314.00","82,845.00","77,987.00","71,971.00"
"12","Long Term Debt","448.00","1,731.00","1,588.00","1,383.00","1,176.00","977.00","131,628.00","131,287.00","131,117.00","131,230.00"
"13","Net Operating Cash Flow","(10,774.00)","42,742.00","(10,045.00)","(10,807.00)","(13,225.00)","(3,428.00)","(3,600.00)","753.00","2,865.00","(27,282.00)"
"14","Capital Expenditures","(1,528.00)","(9,549.00)","(1,889.00)","(4,703.00)","(2,200.00)","(1,861.00)","(3,316.00)","(2,144.00)","(4,092.00)","(3,152.00)"
"15","Total Shares Outstanding (million)","538,161.17","533,740.27","529,641.27","527,431.27","526,611.17","523,604.87","523,409.80","522,709.87","522,709.87","522,244.07"
