"1","Financial Year","30-06-2019       4","30-09-2019       1","31-12-2019       2","31-03-2020       3","30-06-2020       4","30-09-2020       1","31-12-2020       2","31-03-2021       3","30-06-2021       4","30-09-2021       1"
"2","Sales/Revenue","286,695.00","187,360.00","190,860.00","218,812.00","200,651.00","248,842.00","178,563.00","230,030.00","231,928.00","207,813.00"
"3","Pretax Income","42,183.00","23,948.00","17,340.00","16,445.00","26,449.00","33,760.00","17,188.00","22,721.00","39,981.00","24,635.00"
"4","Net Income","32,963.00","19,320.00","8,134.00","11,828.00","12,165.00","15,061.00","8,064.00","14,334.00","28,754.00","11,868.00"
"5","Cash & Short-Term Investments","158,523.00","63,188.00","101,401.00","59,787.00","91,876.00","72,293.00","108,099.00","175,947.00","175,310.00","111,624.00"
"6","Cash Only","158,523.00","63,188.00","101,401.00","59,787.00","91,876.00","72,293.00","108,099.00","175,947.00","175,310.00","111,624.00"
"7","Total Accounts Receivables","1,258,578.00","1,327,564.00","1,348,322.00","1,538,540.00","1,600,776.00","1,141,998.00","1,140,028.00","1,192,190.00","1,259,093.00","1,337,872.00"
"8","Inventories","14,133.00","26,027.00","103,644.00","87,198.00","35,648.00","28,941.00","69,701.00","41,475.00","22,854.00","24,032.00"
"9","Net Property, Plant & Equipment","91,418.00","101,167.00","98,936.00","96,783.00","143,461.00","140,232.00","133,459.00","176,322.00","200,741.00","207,713.00"
"10","Short Term Debt","369,361.00","699,493.00","432,299.00","474,379.00","501,259.00","482,689.00","461,256.00","476,002.00","487,315.00","481,440.00"
"11","Long Term Debt","667,198.00","681,312.00","684,855.00","720,354.00","701,786.00","709,380.00","659,062.00","713,913.00","774,965.00","806,361.00"
"12","Net Operating Cash Flow","(128,936.00)","(59,341.00)","(45,912.00)","(100,353.00)","38,726.00","(40,928.00)","15,939.00","107,349.00","(38,722.00)","(87,946.00)"
"13","Capital Expenditures","(4,866.00)","(11,477.00)","(248.00)","1,115.00","(51,577.00)","(233.00)","(401.00)","(41,744.00)","(19,644.00)","(9,007.00)"
"14","Total Shares Outstanding (million)","764,293.57","764,293.57","764,293.57","764,294.00","764,293.57","762,024.37","761,172.37","761,172.37","761,172.37","761,172.37"
