"1","Financial Year","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-12-2020","31-12-2021"
"2","Sales/Revenue","348,816.06","449,042.74","561,727.16","662,241.28","579,285.26","679,282.54","661,256.53","659,340.90","686,362.77","1,025,204.00"
"3","Pretax Income","44,215.17","49,230.91","50,773.78","70,030.24","45,731.69","63,442.99","55,827.40","45,801.19","56,645.15","74,707.00"
"4","Net Income","34,349.70","38,031.60","38,510.56","48,963.44","36,066.16","48,011.01","43,142.04","36,557.35","45,595.98","60,675.00"
"5","Cash & Short-Term Investments","98,420.81","99,212.26","210,497.37","140,282.78","107,712.23","87,533.19","139,068.69","177,919.82","150,909.50","79,665.00"
"6","Cash Only","19,265.43","33,442.25","18,626.71","73,460.35","42,430.97","27,375.69","42,469.66","25,097.52","38,384.23","62,913.00"
"7","Total Accounts Receivables","97,172.41","167,941.83","165,173.12","262,479.63","181,111.58","164,252.06","172,430.42","126,070.13","202,415.54","257,706.00"
"8","Inventories","36,956.81","99,693.31","76,788.44","100,667.00","105,557.20","145,907.80","146,546.06","106,480.55","163,944.75","300,927.00"
"9","Net Property, Plant & Equipment","57,458.99","68,629.48","68,182.52","114,214.53","90,073.00","86,491.76","92,341.59","74,431.25","85,400.15","137,606.00"
"10","Accrued Payable","-","-","-","-","-","-","-","-","-","229,392.00"
"11","Short Term Debt","-","43,789.46","95,231.16","106,619.96","-","-","36,207.92","-","28,317.66","71,502.00"
"12","Long Term Debt","-","-","-","-","-","-","-","-","-","-"
"13","Net Operating Cash Flow","49,993.96","(16,393.73)","78,976.93","(36,938.81)","112,231.27","9,055.62","51,997.93","93,615.43","(9,351.99)","(26,102.00)"
"14","Capital Expenditures","(17,950.87)","(13,050.63)","(9,873.10)","(36,037.37)","(14,267.36)","(12,462.03)","(20,780.55)","(7,474.71)","(28,970.01)","(66,058.00)"
"15","Total Shares Outstanding (million)","383,880.00","383,600.13","384,041.99","384,041.99","384,041.99","384,041.99","384,041.99","384,041.99","384,041.99","384,041.99"
