"1","Financial Year","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       1","30-06-2021       2","30-09-2021       3","31-12-2021       4"
"2","Sales/Revenue","249,474.00","240,799.32","227,412.00","172,921.00","226,320.00","233,135.87","233,215.00","213,313.00","201,028.00","287,271.00"
"3","Pretax Income","(4,589.00)","(17,997.56)","(11,746.00)","(8,701.00)","3,218.00","(81,770.03)","11,419.00","4,575.00","8,299.00","19,681.00"
"4","Net Income","(6,667.00)","(14,359.19)","(12,152.00)","(11,081.00)","1,461.00","(81,012.22)","9,639.00","4,213.00","5,288.00","16,520.00"
"5","Cash & Short-Term Investments","90,684.00","106,711.00","95,986.00","116,684.00","117,549.00","122,489.00","103,865.00","128,471.00","153,189.00","101,830.00"
"6","Total Accounts Receivables","109,647.00","111,135.00","127,307.00","103,486.00","124,749.00","106,308.00","132,658.00","84,917.00","72,949.00","144,965.00"
"7","Inventories","271,732.00","248,682.00","235,740.00","253,787.00","240,513.00","209,672.00","218,268.00","227,306.00","211,798.00","224,166.00"
"8","Net Property, Plant & Equipment","1,061,525.00","1,095,872.00","1,080,112.00","1,080,288.00","1,045,048.00","1,000,147.00","985,486.00","968,646.00","944,607.00","933,831.00"
"9","Accrued Payable","64,839.00","65,639.00","56,160.00","55,814.00","52,598.00","58,228.00","67,744.00","63,803.00","68,041.00","82,428.00"
"10","Short Term Debt","136,156.00","160,036.00","174,036.00","184,487.00","190,335.00","200,569.00","186,567.00","174,334.00","153,908.00","133,071.00"
"11","Long Term Debt","82,690.00","79,323.00","78,489.00","71,883.00","70,552.00","64,111.00","62,185.00","55,382.00","51,628.00","45,460.00"
"12","Net Operating Cash Flow","14,983.00","17,256.00","(9,506.00)","21,596.00","(4,576.00)","56,440.00","27,959.00","21,885.00","48,914.00","(19,539.00)"
"13","Capital Expenditures","(22,542.00)","(19,834.00)","(9,591.00)","(3,090.00)","(2,187.00)","(23,034.00)","(4,480.00)","(6,300.00)","(4,139.00)","(5,610.00)"
"14","Total Shares Outstanding (million)","845,801.99","845,801.99","845,801.99","845,801.99","845,801.99","845,801.99","845,801.99","845,801.99","845,801.99","845,801.99"
