"1","Financial Year","31-07-2019       2","31-10-2019       3","31-01-2020       4","30-04-2020       1","31-07-2020       2","31-10-2020       3","31-01-2021       4","30-04-2021       1","31-07-2021       2","31-10-2021       Other"
"2","Sales/Revenue","117,636.00","134,501.00","138,644.82","152,907.00","197,952.00","276,688.00","318,900.31","541,242.00","504,229.00","220,930.00"
"3","Pretax Income","8,411.00","9,361.00","13,228.79","22,242.00","56,886.00","117,526.00","166,662.83","293,525.00","204,919.00","49,036.00"
"4","Net Income","7,116.00","7,413.00","10,242.14","16,339.00","42,797.00","90,329.00","130,758.23","219,134.00","148,823.00","45,850.00"
"5","Cash & Short-Term Investments","23,833.00","18,726.00","34,864.34","68,940.00","62,974.00","137,990.00","124,566.00","255,222.00","377,885.00","344,342.00"
"6","Cash Only","23,833.00","18,726.00","34,864.34","68,940.00","62,974.00","137,990.00","-","-","-","-"
"7","Total Accounts Receivables","107,897.00","8,778.00","107,109.93","96,051.00","144,433.00","143,177.00","160,887.00","247,033.00","257,610.00","162,289.00"
"8","Inventories","76,977.00","63,437.00","64,480.15","66,972.00","64,548.00","69,634.00","120,221.00","178,980.00","183,625.00","211,328.00"
"9","Net Property, Plant & Equipment","250,053.00","257,576.00","270,657.89","278,221.00","300,457.00","315,945.00","372,812.00","398,772.00","412,936.00","436,850.00"
"10","Accrued Payable","-","-","-","60,520.00","70,103.00","84,712.00","68,414.00","120,016.00","120,224.00","97,350.00"
"11","Short Term Debt","57,725.00","28,339.00","56,941.92","68,652.00","65,598.00","54,269.00","38,382.00","55,234.00","62,991.00","68,459.00"
"12","Long Term Debt","29,158.00","-","27,494.25","26,925.00","25,997.00","25,528.00","16,567.00","15,868.00","15,169.00","14,470.00"
"13","Net Operating Cash Flow","10,282.00","11,709.00","43,116.97","36,892.00","26,561.00","118,432.00","78,330.00","183,550.00","162,809.00","4,838.00"
"14","Capital Expenditures","(8,854.00)","(13,337.00)","(13,407.71)","(13,957.00)","(28,770.00)","(23,098.00)","(64,568.00)","(34,230.00)","(23,010.00)","(33,011.00)"
"15","Total Shares Outstanding (million)","582,949.00","-","582,949.14","582,949.00","582,949.00","582,949.00","582,949.00","580,443.04","580,443.04","580,443.04"
