"1","Financial Year","30-06-2019       2","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       Other","30-06-2021       Other","30-09-2021       1"
"2","Sales/Revenue","17,864.00","21,863.00","28,884.80","51,782.00","94,906.00","183,731.00","185,602.00","175,280.00","161,529.00","26,486.00"
"3","Pretax Income","(111.00)","752.00","962.50","4,276.00","7,216.00","14,318.00","33,651.00","14,295.00","(19,023.00)","(2,714.00)"
"4","Net Income","(111.00)","752.00","918.84","4,276.00","9,365.00","12,432.00","30,397.00","12,197.00","(19,546.00)","(2,700.00)"
"5","Cash & Short-Term Investments","7,223.00","6,688.00","9,034.60","9,935.00","72,395.00","61,665.00","58,117.00","66,839.00","39,271.00","43,752.00"
"6","Cash Only","7,223.00","6,688.00","8,473.05","9,373.00","71,833.00","61,103.00","58,117.00","-","-","-"
"7","Total Accounts Receivables","22,774.00","28,558.00","32,264.47","66,878.00","153,040.00","288,998.00","396,333.00","600,266.00","673,561.00","686,478.00"
"8","Inventories","24,643.00","23,779.00","24,419.89","24,595.00","23,066.00","21,811.00","24,513.00","24,214.00","25,102.00","23,512.00"
"9","Net Property, Plant & Equipment","33,964.00","33,280.00","44,200.55","43,284.00","42,354.00","42,004.00","42,379.00","42,749.00","46,256.00","46,853.00"
"10","Accrued Payable","-","-","-","-","-","-","-","463,837.00","600,633.00","611,035.00"
"11","Short Term Debt","11,543.00","13,728.00","17,825.47","17,140.00","19,838.00","20,083.00","22,520.00","24,371.00","27,270.00","17,416.00"
"12","Long Term Debt","14,928.00","16,057.00","19,600.03","18,931.00","18,489.00","18,091.00","18,166.00","17,410.00","16,764.00","25,970.00"
"13","Net Operating Cash Flow","(773.00)","(3,816.00)","3,776.01","1,201.00","(5,369.00)","(4,491.00)","(2,144.00)","3,896.00","(21,411.00)","(2,020.00)"
"14","Capital Expenditures","(98.00)","(232.00)","(9,008.85)","(118.00)","(106.00)","(707.00)","(178.00)","(2,646.00)","(7,087.00)","(1,530.00)"
"15","Total Shares Outstanding (million)","85,882.50","85,882.50","85,882.50","85,882.50","122,632.50","122,632.50","455,987.92","490,610.00","490,610.00","526,037.53"
