"1","Financial Year","31-12-2010","31-12-2011","31-12-2012","31-03-2014","31-03-2015","31-07-2016","31-01-2018","30-04-2019","31-01-2020       TTM","31-01-2020       TTM"
"2","Sales/Revenue","38,094.88","31,561.31","22,420.39","33,675.57","84,531.32","26,955.12","7,098.35","1,728.12","500.00","500.00"
"3","Pretax Income","8,889.05","288.96","(4,860.79)","(18,614.79)","(21,710.20)","(44,585.46)","(58,744.16)","16,071.52","(4,954.00)","(4,954.00)"
"4","Net Income","8,861.80","270.27","(4,873.45)","(20,764.10)","(22,051.34)","(34,701.73)","(64,047.77)","15,537.00","40,905.00","40,905.00"
"5","Cash & Short-Term Investments","2,700.71","829.31","1,517.30","4,189.41","2,747.16","2,398.40","2,358.79","62.61","27.00","27.00"
"6","Cash Only","417.90","377.52","546.21","3,284.74","1,987.81","2,398.40","2,358.79","62.61","27.00","27.00"
"7","Total Accounts Receivables","12,619.04","14,995.15","10,696.65","22,021.27","28,562.26","17,218.29","10,114.26","281.60","528.50","528.50"
"8","Inventories","193.53","2,006.52","1,704.44","1,979.53","1,478.70","1,321.15","521.12","-","-","-"
"9","Net Property, Plant & Equipment","39,664.53","45,708.93","43,869.96","46,547.61","41,324.03","31,858.54","12,220.17","6,436.85","6,787.75","6,787.75"
"10","Short Term Debt","9,675.83","2,200.59","5,323.79","6,776.45","5,535.84","9,017.25","749.70","-","-","-"
"11","Long Term Debt","11,323.00","12,073.32","11,845.27","9,304.38","6,619.07","77.70","1,196.75","-","-","-"
"12","Net Operating Cash Flow","7,932.00","7,076.55","1,694.41","4,202.13","(2,921.48)","(8,025.05)","(8,387.06)","660.02","(2,366.00)","(2,366.00)"
"13","Capital Expenditures","(6,193.80)","(8,774.05)","(1,471.26)","(6,899.12)","(1,885.57)","(2,077.81)","(11,339.19)","(425.46)","(4.00)","(4.00)"
"14","Total Shares Outstanding (million)","135,000.00","157,000.00","157,000.00","308,729.76","315,202.76","477,332.79","1,342,421.66","1,342,421.66","1,342,422.00","477,332.79"
