"1","Financial Year","30-06-2007","30-06-2008","30-06-2009"
"2","Sales/Revenue","198,777.30","303,340.19","434,008.93"
"3","Pretax Income","43,474.26","70,216.82","110,771.98"
"4","Net Income","40,049.19","61,656.93","92,216.38"
"5","Cash & Short-Term Investments","30,284.39","35,494.72","94,301.49"
"6","Cash Only","30,284.39","35,494.72","94,301.49"
"7","Total Accounts Receivables","59,568.37","74,141.41","66,231.74"
"8","Inventories","13,269.20","13,759.18","19,763.26"
"9","Net Property, Plant & Equipment","25,596.00","31,099.50","32,262.59"
"10","Long Term Debt","-","-","-"
"11","Net Operating Cash Flow","49,202.96","54,137.37","93,458.49"
"12","Capital Expenditures","(12,202.60)","(4,361.40)","(4,665.00)"
"13","Total Shares Outstanding (million)","234,687.00","234,687.00","234,687.00"
