"1","Financial Year","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-12-2020","31-03-2021       TTM","31-03-2021       TTM"
"2","Sales/Revenue","101,448.72","104,575.20","121,503.16","139,004.54","145,666.15","189,708.89","148,455.17","170,004.26","171,854.26","171,854.26"
"3","Pretax Income","8,888.51","13,419.91","13,720.95","19,890.51","21,826.63","(94,524.73)","3,244.25","16,682.62","16,186.62","16,186.62"
"4","Net Income","6,707.99","9,148.86","10,134.59","14,017.65","15,028.81","(102,836.50)","1,183.19","10,844.39","10,543.39","10,543.39"
"5","Cash & Short-Term Investments","9,398.43","9,737.85","10,895.07","41,647.64","48,490.85","57,883.53","49,975.32","50,384.49","46,502.00","46,502.00"
"6","Cash Only","1,891.94","752.97","610.94","539.41","5,682.09","336.17","3,782.24","3,465.74","2,797.50","2,797.50"
"7","Total Accounts Receivables","42,787.85","49,348.53","59,745.08","75,897.47","93,300.49","133,231.63","112,475.60","129,985.83","126,104.25","126,104.25"
"8","Net Property, Plant & Equipment","4,110.39","4,024.92","5,491.95","5,684.47","5,387.93","6,048.75","8,067.48","10,752.86","8,058.50","8,058.50"
"9","Accrued Payable","4,018.86","4,360.91","4,033.64","8,835.32","-","-","-","-","-","-"
"10","Short Term Debt","14,879.67","15,265.29","14,517.17","17,077.08","20,459.81","26,366.24","31,985.52","27,657.39","21,503.75","21,503.75"
"11","Long Term Debt","423.19","430.52","917.05","644.36","1,019.67","67,688.62","54,211.70","50,491.25","48,415.50","48,415.50"
"12","Net Operating Cash Flow","1,463.40","1,942.50","4,837.82","2,867.11","7,099.63","9,367.37","11,946.51","19,881.37","20,977.00","20,977.00"
"13","Capital Expenditures","(1,470.05)","(764.48)","(1,583.08)","(892.37)","(655.72)","(951.28)","(336.29)","(681.29)","(329.00)","(329.00)"
"14","Total Shares Outstanding (million)","263,241.84","263,241.84","263,241.84","329,051.26","329,051.26","495,862.02","495,862.02","495,862.02","495,862.02","495,862.02"
