"1","Financial Year","30-06-2019       2","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       1","30-06-2021       2","30-09-2021       Other"
"2","Sales/Revenue","94,329.00","116,062.00","130,902.00","53,631.00","54,078.00","94,892.00","123,326.00","59,359.00","70,043.00","46,216.00"
"3","Pretax Income","2,737.00","4,105.00","9,899.00","(826.00)","(2,688.00)","7,114.00","(414.00)","(320.00)","(62.00)","(916.00)"
"4","Net Income","3,072.00","3,716.00","9,188.00","(1,038.00)","(3,146.00)","6,375.00","(1,892.00)","(679.00)","(430.00)","(1,248.00)"
"5","Cash & Short-Term Investments","40,337.00","56,528.00","52,822.00","34,422.00","39,609.00","46,914.00","52,248.00","46,142.00","25,352.00","17,970.00"
"6","Total Accounts Receivables","179,312.00","172,609.00","213,025.00","218,340.00","227,478.00","195,129.00","230,487.00","228,271.00","265,407.00","284,709.00"
"7","Inventories","15,596.00","14,701.00","14,032.00","12,785.00","12,785.00","11,410.00","12,848.00","10,254.00","9,842.00","8,606.00"
"8","Net Property, Plant & Equipment","16,529.00","20,111.00","19,459.00","17,602.00","16,269.00","17,264.00","16,810.00","15,907.00","15,174.00","14,866.00"
"9","Accrued Payable","-","-","-","-","-","-","-","136,145.00","132,584.00","136,870.00"
"10","Short Term Debt","6,893.00","14,469.00","13,283.00","13,757.00","14,363.00","11,647.00","16,065.00","24,726.00","39,615.00","49,087.00"
"11","Long Term Debt","1,542.00","4,934.00","5,638.00","5,544.00","6,375.00","6,790.00","5,941.00","5,175.00","4,395.00","3,617.00"
"12","Net Operating Cash Flow","8,731.00","7,174.00","(2,801.00)","(17,701.00)","4,036.00","15,178.00","2,074.00","(14,206.00)","(33,165.00)","(15,982.00)"
"13","Capital Expenditures","(76.00)","105.00","(249.00)","(35.00)","(160.00)","(318.00)","(827.00)","(5.00)","(104.00)","(125.00)"
"14","Total Shares Outstanding (million)","99,645.00","99,645.00","99,645.00","99,645.00","99,645.00","99,645.00","99,645.00","99,645.00","99,645.00","99,645.00"
