"1","Financial Year","30-06-2017       2","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       4","31-03-2019       1","30-06-2019       2","30-09-2019       3"
"2","Sales/Revenue","16,237.00","15,234.00","35,018.35","17,228.00","15,094.00","17,139.00","45,899.01","14,740.00","26,561.00","21,412.00"
"3","Pretax Income","927.00","2,123.00","5,461.96","2,671.00","3,027.00","3,171.00","5,433.47","2,186.00","3,205.00","2,946.00"
"4","Net Income","659.00","1,509.00","3,474.21","1,895.00","2,196.00","2,118.00","3,951.47","1,529.00","2,318.00","2,172.00"
"5","Cash & Short-Term Investments","12,386.00","11,015.00","11,709.64","20,496.00","14,935.00","11,135.00","20,598.98","20,216.00","17,585.00","18,263.00"
"6","Cash Only","5,863.00","3,901.00","8,716.91","4,584.00","4,714.00","4,581.00","9,687.26","4,799.00","5,302.00","3,531.00"
"7","Total Accounts Receivables","10,229.00","14,714.00","21,745.59","12,523.00","10,749.00","10,953.00","23,020.94","15,491.00","14,561.00","13,147.00"
"8","Inventories","12,500.00","14,421.00","9,017.37","9,565.00","14,595.00","14,050.00","6,994.21","9,929.00","10,989.00","11,974.00"
"9","Net Property, Plant & Equipment","41,558.00","40,793.00","41,849.70","41,278.00","41,164.00","45,059.00","47,522.93","50,213.00","49,620.00","47,938.00"
"10","Accrued Payable","-","12,805.00","-","-","-","-","-","-","-","-"
"11","Short Term Debt","7,601.00","5,622.00","7,150.52","6,927.00","4,716.00","5,434.00","7,443.65","7,034.00","5,718.00","5,241.00"
"12","Long Term Debt","14,911.00","13,756.00","12,691.60","11,628.00","10,538.00","10,361.00","14,055.42","14,831.00","14,486.00","13,759.00"
"13","Net Operating Cash Flow","4,068.00","2,503.00","4,817.54","13,157.00","(1,376.00)","1,234.00","7,855.11","4,370.00","1,865.00","4,233.00"
"14","Capital Expenditures","3,535.00","(689.00)","(2,920.09)","(1,027.00)","(1,349.00)","(4,016.00)","338.84","(1,525.00)","(536.00)","(183.00)"
"15","Total Shares Outstanding (million)","297,892.02","297,892.02","297,892.02","297,892.02","297,892.02","297,892.02","297,892.02","297,892.02","297,892.02","297,892.02"
