"1","Financial Year","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-12-2020       TTM","",""
"2","Sales/Revenue","77,030.61","84,857.93","93,310.44","97,687.08","101,372.51","80,411.00","",""
"3","Pretax Income","11,749.03","16,395.95","16,260.81","15,451.29","13,448.77","7,431.00","",""
"4","Net Income","8,204.17","12,234.31","11,560.59","11,112.35","9,419.93","5,290.00","",""
"5","Cash & Short-Term Investments","6,780.69","11,866.73","9,690.48","7,377.46","14,473.26","15,513.00","",""
"6","Cash Only","6,780.69","11,866.73","9,690.48","6,851.33","14,473.26","13,004.25","",""
"7","Total Accounts Receivables","5,280.79","10,546.07","12,308.91","7,811.11","29,011.67","22,828.50","",""
"8","Inventories","21,431.56","27,068.68","27,489.90","33,694.81","34,611.47","39,152.25","",""
"9","Net Property, Plant & Equipment","14,992.89","13,574.76","27,320.35","4,074.02","29,547.10","27,988.00","",""
"10","Short Term Debt","1,445.18","1,116.97","132.13","-","7,112.59","7,469.50","",""
"11","Long Term Debt","2,752.95","22.60","-","-","18,581.03","16,330.25","",""
"12","Net Operating Cash Flow","10,207.10","12,780.82","12,153.57","6,259.67","15,614.98","9,468.00","",""
"13","Capital Expenditures","(2,269.23)","(703.51)","(4,198.46)","(1,844.72)","(3,105.01)","(4,543.00)","",""
"14","Total Shares Outstanding (million)","380,000.00","380,000.00","380,000.00","380,000.00","380,000.00","380,000.00","380,000.00","410,351.75"
