"1","Financial Year","31-12-2009","31-12-2010","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018"
"2","Sales/Revenue","1,637,093.00","1,812,857.00","2,754,829.00","3,548,062.00","4,098,759.00","3,343,721.00","3,870,207.00","4,172,768.00","4,652,338.00","4,851,702.00"
"3","Pretax Income","480,098.00","444,991.00","574,138.00","602,756.00","553,168.00","834,172.00","45,939.00","183,331.00","334,485.00","780,592.00"
"4","Net Income","377,922.00","293,911.00","401,115.00","394,460.00","377,483.00","748,213.00","40,904.00","70,386.00","236,486.00","727,303.00"
"5","Cash & Short-Term Investments","268,286.00","1,539,770.00","778,343.00","774,166.00","345,413.00","2,041,129.00","1,286,736.00","1,571,876.00","2,460,980.00","2,754,186.00"
"6","Cash Only","113,743.00","109,955.00","90,151.00","150,562.00","102,314.00","1,034,902.00","858,040.00","272,265.00","378,100.00","412,670.00"
"7","Total Accounts Receivables","629,105.00","800,037.00","779,292.00","567,196.00","502,595.00","677,095.00","1,134,311.00","844,488.00","758,703.00","1,340,550.00"
"8","Inventories","60,440.00","60,947.00","78,523.00","99,097.00","122,317.00","154,485.00","117,642.00","135,235.00","140,591.00","129,537.00"
"9","Net Property, Plant & Equipment","1,951,143.00","2,320,145.00","266,200.00","341,165.00","379,157.00","419,002.00","427,768.00","448,355.00","417,083.00","418,849.00"
"10","Short Term Debt","250.00","-","12,515.00","-","-","705,742.00","398,308.00","193,638.00","423,258.00","212,357.00"
"11","Long Term Debt","707,515.00","2,677,716.00","2,774,875.00","3,276,562.00","3,789,256.00","5,821,227.00","5,500,007.00","5,386,142.00","5,126,028.00","4,930,929.00"
"12","Net Operating Cash Flow","(302,440.00)","296,870.00","499,707.00","642,795.00","891,405.00","573,701.00","677,871.00","1,770,851.00","1,937,266.00","2,028,652.00"
"13","Capital Expenditures","(326,347.00)","(836,502.00)","(1,079,066.00)","(1,666,772.00)","(1,918,933.00)","(570,617.00)","(313,669.00)","(436,787.00)","(284,425.00)","(462,254.00)"
"14","Total Shares Outstanding (million)","1,162,766.00","1,162,766.00","1,162,766.00","1,279,043.00","1,302,767.00","1,452,559.00","1,659,192.00","1,659,191.83","1,659,191.83","1,659,191.83"
