"1","Financial Year","30-06-2012","30-06-2013","30-06-2014","30-06-2015","30-06-2016","30-06-2017","30-06-2018","30-06-2019","30-06-2020","30-06-2021"
"2","Sales/Revenue","921,324.10","977,548.33","664,553.58","668,048.10","606,810.26","772,785.40","816,093.39","694,070.55","596,503.00","738,339.00"
"3","Pretax Income","(148,906.80)","(208,425.24)","(26,805.42)","(35,967.41)","23,065.86","(55,166.33)","11,244.43","29,801.69","(3,705.00)","72,059.00"
"4","Net Income","(134,731.81)","(214,959.68)","74,560.74","(29,549.26)","8,234.23","(78,220.66)","(668.00)","30,757.15","(1,444.00)","42,348.00"
"5","Cash & Short-Term Investments","38,356.45","44,842.93","42,757.62","54,086.77","51,543.26","77,713.82","53,426.69","53,687.97","44,267.00","100,939.00"
"6","Cash Only","13,186.45","14,360.47","14,916.16","29,689.57","12,068.24","8,349.62","13,040.79","11,309.08","7,915.00","10,900.00"
"7","Total Accounts Receivables","194,054.67","172,783.47","106,922.57","146,114.03","146,410.33","122,895.97","129,171.69","97,228.62","79,532.00","44,658.00"
"8","Inventories","110,570.81","129,474.47","107,348.43","89,259.62","98,075.40","177,602.76","205,362.61","187,529.35","156,820.00","227,957.00"
"9","Net Property, Plant & Equipment","1,133,713.59","1,050,103.00","399,390.43","405,244.80","395,795.95","388,581.61","382,899.89","379,572.28","395,890.00","403,447.00"
"10","Accrued Payable","-","-","-","104,360.96","153,605.73","259,864.39","251,745.22","146,460.92","-","-"
"11","Short Term Debt","803,350.59","787,184.33","183,878.97","166,847.33","84,338.60","78,609.83","90,735.56","88,463.88","56,824.00","59,928.00"
"12","Long Term Debt","18,003.65","15,676.85","10,676.98","19,847.30","7,241.26","34,905.19","28,572.71","21,675.13","18,767.00","28,712.00"
"13","Net Operating Cash Flow","(38,684.68)","39,470.17","(76,640.32)","31,089.99","91,235.20","(12,108.10)","(21,867.67)","(6,564.02)","62,933.00","49,572.00"
"14","Capital Expenditures","(5,926.43)","(6,931.16)","(10,296.51)","(10,153.40)","(3,688.57)","(3,971.29)","(6,940.75)","(8,362.02)","(31,311.00)","(14,228.00)"
"15","Total Shares Outstanding (million)","225,523.00","225,522.81","225,522.81","225,522.81","225,522.81","225,522.81","225,522.81","359,417.70","359,417.70","359,417.70"
