"1","Financial Year","31-01-2012","31-01-2013","31-01-2014","31-01-2015","31-01-2016","31-01-2017","31-01-2018","31-01-2019","31-01-2020","31-01-2021"
"2","Sales/Revenue","301,469.17","416,201.32","315,032.01","309,538.43","376,723.61","406,802.00","382,245.00","3,927.00","1,936.00","2,037.00"
"3","Pretax Income","(7,198.83)","6,777.73","(4,643.67)","(2,059.16)","15,280.47","18,464.00","(32,739.00)","(32,624.00)","14,532.00","(9,071.00)"
"4","Net Income","(7,058.20)","3,446.87","(3,979.32)","(1,396.07)","13,484.85","17,691.00","(33,924.00)","(25,504.00)","14,266.00","(7,888.00)"
"5","Cash & Short-Term Investments","19,234.78","29,916.99","27,035.51","54,443.77","46,303.42","34,283.00","109,334.00","30,809.00","13,016.00","141.00"
"6","Cash Only","10,025.36","23,445.83","20,106.17","36,882.30","34,755.87","22,507.00","2,093.00","1,845.00","1,430.00","105.00"
"7","Total Accounts Receivables","62,259.22","70,048.41","68,625.91","74,104.43","95,620.85","95,813.00","6,762.00","4,605.00","6,711.00","82.00"
"8","Inventories","59,783.95","86,295.42","83,691.62","78,891.32","70,219.85","72,277.00","511.00","169.00","50.00","-"
"9","Net Property, Plant & Equipment","58,590.04","68,688.96","65,725.64","52,396.22","57,663.87","59,629.00","22,641.00","9.00","97.00","7.00"
"10","Short Term Debt","77,983.78","93,130.09","81,107.79","84,179.32","79,713.70","53,381.00","2,648.00","9,535.00","7,801.00","-"
"11","Long Term Debt","1,491.68","418.75","392.72","10,372.64","13,728.35","11,315.00","8,644.00","-","42.00","-"
"12","Net Operating Cash Flow","16,792.98","(7,700.44)","11,527.40","5,420.64","(4,389.04)","19,954.00","2,652.00","(39,951.00)","25,072.00","8,236.00"
"13","Capital Expenditures","(1,219.53)","(2,024.83)","(685.52)","(18,966.42)","(4,532.78)","(2,747.00)","(6,825.00)","(81.00)","(251.00)","(71.00)"
"14","Total Shares Outstanding (million)","140,000.00","140,000.00","140,000.00","140,000.00","140,000.00","140,000.00","140,000.00","140,000.00","140,000.00","140,000.00"
