"1","Financial Year","31-01-2017       3","30-04-2017       4","31-07-2017       1","31-10-2017       2","31-01-2018       3","30-04-2018       4","31-07-2018       1","31-10-2018       2","31-01-2019       3","30-04-2019       4"
"2","Sales/Revenue","170,367.00","159,246.57","176,150.00","169,269.00","180,989.00","164,519.74","172,403.00","177,943.00","195,530.00","182,174.00"
"3","Pretax Income","22,785.00","13,901.50","17,877.00","9,947.00","12,702.00","3,834.49","10,490.00","6,681.00","7,803.00","(1,427.00)"
"4","Net Income","15,491.00","8,952.57","12,119.00","6,362.00","10,050.00","1,180.01","6,582.00","3,611.00","3,622.00","(4,852.00)"
"5","Cash & Short-Term Investments","50,106.00","65,578.00","72,458.00","42,189.00","58,235.00","47,208.35","36,708.00","40,272.00","34,516.00","45,277.00"
"6","Cash Only","-","-","-","-","-","-","-","-","-","45,277.00"
"7","Total Accounts Receivables","132,461.00","124,479.00","154,595.00","154,616.00","171,565.00","149,347.87","176,865.00","173,684.00","188,012.00","153,036.00"
"8","Inventories","128,725.00","138,291.00","122,035.00","126,684.00","146,206.00","180,881.99","169,114.00","193,136.00","186,244.00","195,748.00"
"9","Net Property, Plant & Equipment","367,495.00","375,204.00","376,135.00","377,573.00","373,827.00","411,457.61","436,092.00","471,028.00","496,834.00","515,932.00"
"10","Accrued Payable","-","-","-","55,717.00","48,252.00","62,454.54","56,504.00","58,548.00","50,817.00","-"
"11","Short Term Debt","107,674.00","-","122,104.00","112,747.00","136,007.00","164,660.53","188,726.00","180,888.00","205,310.00","279,253.00"
"12","Long Term Debt","51,869.00","18,637.00","56,946.00","52,322.00","62,584.00","55,641.91","66,338.00","133,555.00","137,722.00","60,666.00"
"13","Net Operating Cash Flow","16,012.00","24,439.94","(2,688.00)","10,365.00","(11,828.00)","7,378.13","(17,512.00)","(5,902.00)","11,010.00","37,882.00"
"14","Capital Expenditures","(6,314.00)","(7,801.19)","(9,894.00)","(10,216.00)","(9,101.00)","(37,379.56)","(32,087.00)","(40,351.00)","(36,404.00)","(16,316.00)"
"15","Total Shares Outstanding (million)","1,123,130.00","1,123,120.00","1,123,120.00","1,123,110.00","1,123,110.00","1,123,100.00","1,123,100.00","1,123,100.00","1,123,100.00","1,123,040.00"
