"1","Financial Year","31-10-2013","31-10-2014","31-10-2015","31-10-2016","31-10-2017","31-10-2018","31-10-2019","31-10-2020","31-10-2021","31-01-2022       TTM"
"2","Sales/Revenue","157,961.87","182,408.92","217,546.26","264,031.42","327,598.00","393,358.00","517,793.00","489,391.00","394,369.00","435,134.00"
"3","Pretax Income","21,639.15","16,279.32","17,702.13","23,620.92","30,696.00","32,222.00","32,966.00","(14,098.00)","(53,434.00)","(52,079.00)"
"4","Net Income","17,854.96","12,429.56","13,509.75","18,132.60","24,021.00","26,498.00","27,564.00","(9,842.00)","(43,209.00)","(42,128.00)"
"5","Cash & Short-Term Investments","8,845.53","8,086.45","6,488.60","71,423.76","128,769.00","68,714.00","32,532.00","45,291.00","16,249.00","13,019.75"
"6","Cash Only","8,810.87","7,759.44","6,091.60","15,674.72","22,006.00","22,590.00","13,736.00","39,070.00","15,336.00","11,790.50"
"7","Total Accounts Receivables","9,323.29","6,273.64","10,756.63","13,395.02","20,572.00","27,108.00","57,896.00","27,608.00","22,348.00","53,007.50"
"8","Inventories","11,102.92","15,783.53","21,754.67","29,781.85","31,726.00","44,311.00","62,086.00","66,936.00","58,778.00","62,580.00"
"9","Net Property, Plant & Equipment","28,728.43","42,732.49","46,679.09","65,266.17","80,595.00","155,681.00","305,130.00","338,467.00","347,292.00","349,759.50"
"10","Short Term Debt","1,192.00","1,450.27","1,460.06","1,550.46","1,704.00","2,717.00","37,870.00","50,917.00","54,390.00","65,393.50"
"11","Long Term Debt","8,274.31","9,668.53","8,747.23","7,311.19","6,251.00","2,709.00","56,063.00","106,122.00","104,213.00","99,794.75"
"12","Net Operating Cash Flow","9,326.04","12,225.05","8,499.14","19,645.47","5,884.00","9,540.00","83,130.00","40,564.00","25,798.00","29,223.00"
"13","Capital Expenditures","(8,067.45)","(8,998.30)","(7,688.28)","(23,724.52)","(21,736.00)","(87,128.00)","(104,657.00)","(36,779.00)","(27,623.00)","(23,210.00)"
"14","Total Shares Outstanding (million)","21,900.05","21,900.05","458,900.00","620,140.00","682,154.00","682,154.00","682,154.00","682,154.00","682,154.00","682,154.00"
