"1","Financial Year","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-12-2020","30-06-2021       TTM","","",""
"2","Sales/Revenue","212,283.71","214,741.14","257,701.13","260,544.93","238,178.98","239,145.00","324,459.02","","",""
"3","Pretax Income","4,987.39","14,584.78","21,670.75","14,828.96","1,492.39","12,019.00","45,741.02","","",""
"4","Net Income","4,160.52","12,183.49","15,714.81","11,280.79","398.40","9,268.00","34,617.43","","",""
"5","Cash & Short-Term Investments","8,545.59","8,416.98","24,555.50","14,822.94","37,895.25","42,983.00","40,633.75","","",""
"6","Cash Only","8,545.59","8,416.98","24,555.50","14,822.94","37,895.25","42,983.00","40,633.75","","",""
"7","Total Accounts Receivables","57,609.48","62,674.11","57,297.38","49,976.40","58,714.50","65,166.00","74,588.00","","",""
"8","Inventories","66,832.14","65,516.67","103,154.19","64,773.04","85,877.96","70,300.00","96,065.50","","",""
"9","Net Property, Plant & Equipment","50,309.19","49,504.62","75,766.83","73,398.47","70,718.99","68,804.00","68,312.75","","",""
"10","Accrued Payable","12,329.76","32,568.52","52,844.12","18,064.58","18,260.15","-","-","","",""
"11","Short Term Debt","63,419.56","31,846.11","51,104.73","18,151.28","36,262.61","25,732.00","40,220.75","","",""
"12","Long Term Debt","3,173.95","1,445.27","269.54","61.26","41.88","110.00","72.25","","",""
"13","Net Operating Cash Flow","(6,170.24)","27,751.08","15,234.84","27,436.92","(24,910.39)","17,815.00","(51,507.00)","","",""
"14","Capital Expenditures","(679.32)","(1,638.96)","(1,422.80)","(1,433.61)","(779.74)","(1,480.00)","(2,035.00)","","",""
"15","Total Shares Outstanding (million)","289,662.00","289,662.00","289,662.00","289,662.00","348,991.00","348,991.00","348,991.00","289,662.00","318,528.80","318,528.80"
