"1","Financial Year","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM"
"2","Sales/Revenue","66,402.00","76,847.00","80,783.00","61,875.94","61,887.94"
"3","Pretax Income","8,035.00","11,847.00","9,003.00","4,189.82","4,639.82"
"4","Net Income","6,345.00","9,470.00","7,110.00","2,998.28","3,378.28"
"5","Cash & Short-Term Investments","14,676.00","13,916.00","10,285.00","17,023.06","19,330.00"
"6","Cash Only","14,676.00","13,916.00","10,285.00","17,023.06","19,330.00"
"7","Total Accounts Receivables","26,670.00","27,852.00","25,058.00","18,435.93","13,372.00"
"8","Inventories","9,835.00","7,782.00","9,698.00","6,078.82","7,912.00"
"9","Net Property, Plant & Equipment","8,295.00","11,156.00","11,107.00","11,166.79","13,936.00"
"10","Short Term Debt","802.00","1,605.00","1,274.00","762.05","1,672.00"
"11","Long Term Debt","5,266.00","9,637.00","8,925.00","1,911.92","1,923.00"
"12","Net Operating Cash Flow","8,746.00","1,810.00","6,048.00","4,427.07","5,045.07"
"13","Capital Expenditures","(3,669.00)","(3,404.00)","(281.00)","(732.55)","(550.55)"
"14","Total Shares Outstanding (million)","397,120.00","397,120.00","397,120.00","525,200.00","525,200.00"
"15","Financial Year","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       4","31-03-2019       1"
"16","Pretax Income","275.00","2,405.00","1,280.00","229.82","725.00"
"16","Sales/Revenue","13,808.00","18,772.00","14,946.00","14,349.94","13,820.00"
"17","Net Income","189.00","1,775.00","948.00","86.28","569.00"
"18","Cash & Short-Term Investments","12,830.00","13,330.00","26,505.00","17,023.06","19,330.00"
"19","Cash Only","12,830.00","13,330.00","26,505.00","17,023.06","19,330.00"
"20","Total Accounts Receivables","18,467.00","19,328.00","15,060.00","18,435.93","13,372.00"
"21","Inventories","9,635.00","7,101.00","6,725.00","6,078.82","7,912.00"
"22","Net Property, Plant & Equipment","11,135.00","10,982.00","11,218.00","11,166.79","13,936.00"
"23","Short Term Debt","1,927.00","1,985.00","1,732.00","762.05","1,672.00"
"24","Long Term Debt","8,595.00","8,270.00","5,637.00","1,911.92","1,923.00"
"25","Net Operating Cash Flow","2,595.00","1,766.00","4,636.00","(4,569.93)","3,213.00"
"26","Capital Expenditures","(184.00)","(16.00)","(402.00)","(130.55)","(2.00)"
"27","Total Shares Outstanding (million)","397,120.00","397,120.00","525,200.00","525,200.00","525,200.00"
