"1","Financial Year","30-09-2019       1","31-12-2019       2","31-03-2020       3","30-06-2020       4","30-09-2020       1","31-12-2020       2","31-03-2021       3","30-06-2021       4","30-09-2021       1","31-12-2021       2"
"2","Sales/Revenue","277,053.00","284,758.00","211,362.00","230,007.00","293,091.00","299,036.00","231,618.00","231,776.00","196,988.00","358,478.00"
"3","Pretax Income","3,885.00","2,231.00","(5,451.00)","(13,473.00)","4,448.00","5,175.00","4,322.00","252.00","2,054.00","8,069.00"
"4","Net Income","3,873.00","2,031.00","(5,451.00)","(14,059.00)","4,448.00","5,055.00","4,202.00","260.00","1,944.00","7,911.00"
"5","Cash & Short-Term Investments","48,268.00","39,867.00","34,744.00","31,242.00","44,709.00","30,012.00","33,109.00","15,149.00","31,466.00","12,835.00"
"6","Cash Only","29,016.00","21,999.00","16,865.00","13,205.00","28,950.00","23,909.00","28,206.00","10,543.00","30,527.00","11,899.00"
"7","Total Accounts Receivables","260,046.00","271,022.00","290,634.00","285,620.00","326,016.00","278,632.00","282,182.00","305,724.00","304,733.00","323,627.00"
"8","Inventories","180,050.00","204,679.00","284,921.00","307,828.00","200,066.00","206,312.00","244,783.00","304,875.00","299,760.00","283,344.00"
"9","Net Property, Plant & Equipment","250,303.00","258,589.00","266,618.00","268,750.00","264,360.00","274,408.00","280,128.00","270,499.00","262,755.00","256,182.00"
"10","Accrued Payable","212,785.00","264,081.00","354,852.00","359,027.00","302,971.00","253,485.00","271,760.00","331,657.00","311,468.00","284,001.00"
"11","Short Term Debt","205,115.00","186,933.00","210,014.00","229,542.00","204,067.00","164,015.00","173,791.00","177,796.00","202,221.00","201,999.00"
"12","Long Term Debt","9,719.00","9,719.00","9,719.00","6,097.00","28,876.00","50,130.00","51,229.00","42,721.00","42,808.00","42,709.00"
"13","Net Operating Cash Flow","11,621.00","30,144.00","(6,098.00)","(10,289.00)","38,372.00","26,757.00","(39,238.00)","(9,997.00)","(4,327.00)","(13,115.00)"
"14","Capital Expenditures","(21,565.00)","(18,454.00)","(21,133.00)","(9,627.00)","(21,980.00)","(39,427.00)","16,952.00","(2,441.00)","(3,675.00)","(4,531.00)"
"15","Total Shares Outstanding (million)","257,422.96","257,422.96","257,422.96","257,422.96","258,687.14","303,165.49","361,220.64","361,729.24","361,731.24","362,668.14"
