"1","Financial Year","31-03-2017       Other","30-06-2017       Other","30-09-2017       1","31-12-2017       2","31-03-2018       3","30-06-2018       4","30-09-2018       1","31-12-2018       2","31-03-2019       3","30-06-2019       4"
"2","Sales/Revenue","46,129.00","44,306.63","39,891.00","27,697.00","29,361.00","30,230.78","32,348.00","32,472.00","32,213.00","19,873.23"
"3","Pretax Income","(60,275.00)","(263,580.35)","(44,387.00)","39,011.00","(246,109.00)","(217,231.44)","(22,233.00)","(26,178.00)","(24,855.00)","(163,109.39)"
"4","Net Income","(65,295.00)","(205,353.78)","(42,169.00)","40,776.00","(244,524.00)","(209,705.62)","(19,881.00)","(24,786.00)","(23,120.00)","(158,816.43)"
"5","Cash & Short-Term Investments","26,321.00","16,392.28","28,972.00","28,899.00","27,145.00","28,385.39","42,256.00","42,917.00","51,915.00","39,205.92"
"6","Cash Only","-","-","28,972.00","28,899.00","27,145.00","28,385.39","42,256.00","42,917.00","51,915.00","39,205.92"
"7","Total Accounts Receivables","180,768.00","98,445.66","86,605.00","84,410.00","87,323.00","39,367.39","31,685.00","30,040.00","32,151.00","20,969.30"
"8","Net Property, Plant & Equipment","1,162,139.00","1,053,295.91","1,020,268.00","963,381.00","709,599.00","662,558.36","669,484.00","660,840.00","643,850.00","620,244.66"
"9","Accrued Payable","-","118,106.76","-","-","-","-","-","-","-","-"
"10","Short Term Debt","1,355,139.00","1,317,964.23","1,296,992.00","1,248,123.00","1,195,254.00","1,229,496.40","1,253,596.00","1,250,578.00","1,233,298.00","1,225,581.74"
"11","Long Term Debt","-","-","-","-","-","-","-","-","-","-"
"12","Net Operating Cash Flow","3,667.00","1,119.59","17,675.00","4,878.00","5,783.00","4,874.68","16,954.00","6,523.00","14,629.00","(615.94)"
"13","Capital Expenditures","(381.00)","(492.36)","(1.00)","(6.00)","(1.00)","(0.46)","-","(143.00)","1.00","(11,680.96)"
"14","Total Shares Outstanding (million)","1,260,472.00","1,260,472.00","1,260,472.08","1,260,472.08","1,260,472.08","1,260,472.08","1,260,472.08","1,260,472.08","1,260,472.08","1,260,472.08"
