"1","Financial Year","31-01-2010","31-01-2011","31-01-2012","31-01-2013","31-01-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","30-09-2019       TTM"
"2","Sales/Revenue","242,017.82","411,354.11","567,821.00","638,021.00","692,417.00","532,854.00","593,650.00","745,059.00","1,188,828.00","805,349.00"
"3","Pretax Income","55,011.02","109,039.87","113,061.00","104,169.00","116,788.00","80,943.00","146,484.00","165,702.00","323,247.00","41,074.00"
"4","Net Income","44,794.83","91,365.77","103,071.00","93,434.00","113,451.00","42,033.00","157,655.00","140,468.00","158,283.00","(9,239.00)"
"5","Cash & Short-Term Investments","139,665.23","158,923.28","126,399.00","134,255.00","597,663.00","576,945.00","1,325,591.00","1,087,108.00","1,258,779.00","1,178,465.75"
"6","Cash Only","139,665.23","61,516.69","89,302.00","99,785.00","137,547.00","147,615.00","148,907.00","180,040.00","227,686.00","854,004.00"
"7","Total Accounts Receivables","253,929.85","280,361.28","170,814.00","138,997.00","106,307.00","166,780.00","208,257.00","133,172.00","123,538.00","124,808.00"
"8","Inventories","49,267.61","61,473.01","77,222.00","67,568.00","243,804.00","238,532.00","259,534.00","795,104.00","100,360.00","99,816.50"
"9","Net Property, Plant & Equipment","1,118,372.29","1,734,327.16","1,938,364.00","2,186,988.00","2,326,620.00","2,039,900.00","2,131,954.00","2,355,738.00","2,201,511.00","2,268,264.00"
"10","Accrued Payable","-","-","-","-","-","-","-","-","-","327,694.75"
"11","Short Term Debt","8,545.54","24,818.98","119,608.00","183,752.00","964,973.00","1,281,278.00","1,275,462.00","2,060,513.00","999,879.00","956,666.25"
"12","Long Term Debt","252,649.81","711,812.83","800,124.00","911,275.00","362,814.00","742,903.00","1,302,286.00","363,691.00","688,071.00","685,902.75"
"13","Net Operating Cash Flow","202,191.09","51,229.80","105,522.00","216,560.00","198,803.00","195,993.00","523,348.00","202,102.00","1,176,347.00","118,053.00"
"14","Capital Expenditures","(74,672.56)","(47,013.71)","(26,688.00)","(29,128.00)","(43,867.00)","(67,052.00)","(176,394.00)","(358,014.00)","(29,222.00)","(20,611.00)"
"15","Total Shares Outstanding (million)","4,815,363.63","5,321,724.00","5,321,724.00","5,321,724.00","5,059,682.00","5,321,724.00","5,321,724.00","5,321,724.00","5,321,724.00","5,321,724.00"
