"1","Financial Year","30-09-2019       1","31-12-2019       2","31-03-2020       3","30-06-2020       4","30-09-2020       1","31-12-2020       2","31-03-2021       3","30-06-2021       Other","30-09-2021       Other","31-12-2021       Other"
"2","Sales/Revenue","83,040.00","87,392.00","88,244.00","105,333.95","108,609.00","109,421.00","105,809.00","106,668.00","102,859.00","104,688.00"
"3","Pretax Income","6,654.00","7,640.00","134.00","9,311.64","9,636.00","9,682.00","7,051.00","9,909.00","10,975.00","12,450.00"
"4","Net Income","4,761.00","5,868.00","210.00","7,695.19","7,194.00","6,916.00","5,580.00","6,396.00","9,468.00","7,432.00"
"5","Cash & Short-Term Investments","279,130.00","265,128.00","253,800.00","267,684.00","274,395.00","289,546.00","281,133.00","285,744.00","281,301.00","274,196.00"
"6","Cash Only","30,520.00","38,266.00","31,794.00","31,699.00","43,628.00","71,777.00","39,031.00","48,373.00","38,467.00","40,446.00"
"7","Total Accounts Receivables","93,479.00","94,188.00","114,641.00","116,991.00","112,732.00","106,704.00","101,783.00","103,470.00","109,790.00","103,685.00"
"8","Inventories","1,231.00","1,389.00","1,355.00","1,223.00","1,706.00","1,674.00","1,553.00","1,798.00","1,708.00","1,847.00"
"9","Net Property, Plant & Equipment","109,426.00","111,345.00","190,361.00","210,923.00","201,689.00","202,484.00","192,784.00","206,056.00","200,342.00","207,371.00"
"10","Accrued Payable","22,112.00","24,834.00","22,753.00","33,280.00","30,291.00","39,094.00","33,964.00","40,172.00","33,724.00","34,013.00"
"11","Short Term Debt","21,816.00","21,896.00","41,648.00","48,129.00","46,961.00","35,596.00","33,988.00","31,059.00","25,549.00","25,784.00"
"12","Long Term Debt","16,929.00","14,675.00","72,759.00","59,556.00","50,919.00","62,071.00","53,642.00","55,345.00","55,665.00","58,255.00"
"13","Net Operating Cash Flow","4,936.00","8,113.00","16,151.00","27,393.00","19,505.00","28,978.00","18,987.00","20,536.00","28,857.00","54,891.00"
"14","Capital Expenditures","(2,326.00)","(4,299.00)","(1,849.00)","(2,633.00)","(1,690.00)","(2,327.00)","(1,918.00)","(4,471.00)","(6,243.00)","(13,655.00)"
"15","Total Shares Outstanding (million)","5,641,388.34","5,641,388.34","5,637,213.04","5,637,213.04","5,634,803.04","5,634,803.04","5,613,300.94","5,601,508.04","5,592,847.54","5,581,093.04"
