"1","Financial Year","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       1","30-06-2021       2","30-09-2021       3","31-12-2021       4"
"2","Sales/Revenue","15,347.00","23,717.00","8,750.00","8,326.00","18,198.00","13,849.00","10,415.00","16,634.00","16,819.00","32,079.00"
"3","Pretax Income","4,286.00","7,462.00","2,001.00","1,419.00","7,044.00","753.00","706.00","3,010.00","7,997.00","11,744.00"
"4","Net Income","3,894.00","5,159.00","1,487.00","321.00","5,311.00","698.00","534.00","2,241.00","5,993.00","8,803.00"
"5","Cash & Short-Term Investments","103,297.00","113,065.00","113,409.00","115,139.00","135,017.00","141,172.00","150,664.00","157,758.00","166,217.00","174,439.00"
"6","Cash Only","38,656.00","33,888.00","35,436.00","35,696.00","53,650.00","52,133.00","53,792.00","54,554.00","58,580.00","60,479.00"
"7","Total Accounts Receivables","30,623.00","33,758.00","37,090.00","37,992.00","22,963.00","21,800.00","18,334.00","17,864.00","19,537.00","29,545.00"
"8","Inventories","69,432.00","66,206.00","62,990.00","60,931.00","55,373.00","48,334.00","43,033.00","44,206.00","40,880.00","34,530.00"
"9","Net Property, Plant & Equipment","172,569.00","172,760.00","172,632.00","172,253.00","171,839.00","171,677.00","171,180.00","170,697.00","170,762.00","169,331.00"
"10","Accrued Payable","15,422.00","19,382.00","18,117.00","20,326.00","18,629.00","16,764.00","16,167.00","17,779.00","18,273.00","25,694.00"
"11","Short Term Debt","196.00","199.00","201.00","204.00","207.00","199.00","210.00","210.00","210.00","172.00"
"12","Long Term Debt","442.00","391.00","340.00","288.00","235.00","172.00","112.00","62.00","12.00","-"
"13","Net Operating Cash Flow","9,448.00","10,182.00","1,373.00","2,624.00","24,934.00","6,943.00","10,181.00","10,716.00","9,593.00","9,955.00"
"14","Capital Expenditures","(955.00)","(686.00)","(974.00)","(874.00)","(1,633.00)","(927.00)","(637.00)","(148.00)","(948.00)","(1,331.00)"
"15","Total Shares Outstanding (million)","74,853.08","74,853.00","74,853.00","74,853.00","74,853.00","74,853.00","74,853.00","74,853.00","74,853.00","74,853.00"
