"1","Financial Year","30-06-2012","30-06-2013","30-06-2014","30-06-2015","30-06-2016","30-06-2017","30-06-2018","30-06-2019","30-06-2020","30-06-2021"
"2","Sales/Revenue","49,981.55","43,719.34","37,606.99","46,179.06","38,816.59","84,740.77","150,284.51","54,089.96","45,378.00","50,168.00"
"3","Pretax Income","(7,924.63)","(1,140.81)","(4,087.72)","484.85","(4,472.57)","(3,640.38)","2,509.81","(4,032.84)","(2,467.00)","5,291.00"
"4","Net Income","(6,721.51)","(619.01)","(4,272.53)","179.91","(4,498.24)","(2,304.71)","7,202.56","(5,008.57)","(3,411.00)","2,530.00"
"5","Cash & Short-Term Investments","9,323.47","11,024.06","3,680.87","9,515.52","1,522.86","18,216.40","32,009.25","7,131.77","4,300.00","10,232.00"
"6","Cash Only","1,623.88","517.01","419.62","6,337.18","-","-","-","1,388.99","4,050.00","4,696.00"
"7","Total Accounts Receivables","6,494.91","8,781.17","10,260.81","10,799.63","12,047.08","15,745.69","24,265.49","22,005.39","21,339.00","11,795.00"
"8","Inventories","3,555.19","6,896.74","7,754.17","10,814.02","11,236.18","10,511.36","-","-","-","-"
"9","Net Property, Plant & Equipment","28,022.56","26,379.17","24,822.80","23,691.88","24,579.84","30,055.60","26,344.79","24,400.46","26,899.00","26,678.00"
"10","Short Term Debt","3,595.48","4,886.34","5,428.69","6,026.47","4,448.64","5,697.44","1,447.14","2,442.12","1,721.00","1,716.00"
"11","Long Term Debt","807.52","728.30","505.39","3,447.26","4,823.11","4,637.18","7,097.49","5,762.51","5,249.00","6,274.00"
"12","Net Operating Cash Flow","1,247.64","(11,983.48)","(6,055.97)","1,904.58","(4,792.56)","19,604.54","17,228.46","(31,259.90)","8,746.00","9,549.00"
"13","Capital Expenditures","(1,420.91)","(975.16)","(611.87)","(279.67)","(534.37)","(189.53)","(758.20)","(172.53)","-","-"
"14","Total Shares Outstanding (million)","57,905.00","57,905.20","57,905.20","57,905.20","57,905.20","57,905.20","57,905.20","57,905.20","57,905.20","57,905.20"
