"1","Financial Year","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       Other","31-12-2020       Other","31-03-2021       Other","30-06-2021       Other","30-09-2021       1","31-12-2021       2"
"2","Sales/Revenue","81,131.00","78,199.00","2,237.00","14,217.00","15,129.00","19,027.00","5,348.00","25,585.00","18,081.00","14,616.00"
"3","Pretax Income","(6,627.00)","(97,424.00)","(335.00)","1,593.00","5,055.00","2,038.00","4,260.00","(2,146.00)","4,888.00","7,172.00"
"4","Net Income","(5,726.00)","(96,644.00)","(295.00)","1,544.00","5,073.00","2,041.00","4,261.00","(3,407.00)","5,806.00","6,689.00"
"5","Cash & Short-Term Investments","171,028.00","97,156.00","97,310.00","98,022.00","104,908.00","104,241.00","108,088.00","206,202.00","205,567.00","211,911.00"
"6","Cash Only","171,028.00","97,156.00","97,310.00","98,022.00","104,908.00","104,241.00","108,088.00","155,402.00","154,767.00","161,111.00"
"7","Total Accounts Receivables","317,769.00","12,305.00","15,951.00","27,590.00","36,041.00","33,120.00","30,861.00","25,094.00","63,031.00","46,906.00"
"8","Inventories","1,357.00","3,693.00","6,150.00","755.00","409.00","821.00","228.00","383.00","6,490.00","4,578.00"
"9","Net Property, Plant & Equipment","707.00","98,548.00","97,685.00","96,930.00","95,942.00","114,625.00","113,616.00","124,749.00","205,780.00","228,527.00"
"10","Accrued Payable","10,675.00","10,973.00","10,860.00","19,173.00","20,026.00","25,926.00","19,169.00","30,502.00","39,458.00","44,063.00"
"11","Short Term Debt","191,108.00","3,848.00","4,536.00","4,523.00","7,214.00","6,022.00","6,617.00","9,413.00","10,440.00","12,110.00"
"12","Long Term Debt","77.00","46,446.00","47,045.00","47,678.00","44,967.00","45,833.00","46,478.00","43,071.00","103,953.00","101,686.00"
"13","Net Operating Cash Flow","(39,103.00)","133,072.00","(6,356.00)","1,067.00","(4,596.00)","7,027.00","(432.00)","13,801.00","(5,400.00)","27,288.00"
"14","Capital Expenditures","-","(99,550.00)","(122.00)","(249.00)","(8.00)","(13,444.00)","(17,023.00)","(29,716.00)","(506.00)","(25,146.00)"
"15","Total Shares Outstanding (million)","536,774.87","536,774.87","536,774.87","616,774.87","666,774.87","706,774.87","751,774.87","751,774.87","1,393,323.47","1,413,323.47"
