"1","Financial Year","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       1","30-06-2021       2","30-09-2021       3","30-11-2021       Other"
"2","Sales/Revenue","186,468.00","218,295.00","152,695.00","110,672.00","212,749.00","131,545.00","130,434.00","128,189.00","141,299.00","175,076.00"
"3","Pretax Income","(5,411.00)","(69,805.00)","2,703.00","(19,830.00)","5,997.00","(15,324.00)","(2,233.00)","(8,254.00)","(14,372.00)","(12,220.00)"
"4","Net Income","(3,357.00)","(74,611.00)","550.00","(17,768.00)","3,436.00","(11,390.00)","(2,567.00)","(8,138.00)","(12,576.00)","(11,344.00)"
"5","Cash & Short-Term Investments","24,339.00","87,926.00","36,376.00","45,703.00","34,306.00","42,486.00","39,897.00","24,567.00","31,542.00","35,947.00"
"6","Cash Only","24,339.00","87,926.00","36,376.00","45,703.00","34,306.00","42,486.00","39,897.00","24,567.00","31,542.00","35,947.00"
"7","Total Accounts Receivables","249,003.00","280,297.00","240,605.00","281,542.00","317,691.00","188,349.00","169,568.00","194,722.00","202,538.00","185,482.00"
"8","Inventories","138,535.00","140,581.00","152,321.00","138,775.00","95,964.00","98,686.00","106,846.00","117,851.00","128,042.00","143,580.00"
"9","Net Property, Plant & Equipment","406,848.00","266,454.00","283,013.00","265,014.00","259,674.00","256,194.00","253,341.00","249,322.00","245,737.00","243,373.00"
"10","Short Term Debt","467,306.00","447,446.00","402,021.00","433,333.00","409,494.00","375,731.00","383,742.00","395,529.00","403,878.00","410,700.00"
"11","Long Term Debt","111,481.00","83,638.00","83,518.00","84,502.00","83,368.00","92,758.00","73,131.00","72,770.00","72,667.00","72,486.00"
"12","Net Operating Cash Flow","48,932.00","23,757.00","(21,381.00)","(6,090.00)","3,979.00","41,156.00","61,236.00","(83,737.00)","(21,785.00)","(46,567.00)"
"13","Capital Expenditures","(1,078.00)","449.00","(576.00)","45.00","(584.00)","(1,149.00)","-","(1,691.00)","(849.00)","(2,930.00)"
"14","Total Shares Outstanding (million)","317,050.00","317,050.00","317,050.00","317,050.00","317,050.00","317,050.00","317,050.00","335,575.00","398,985.00","398,985.00"
