"1","Financial Year","31-12-2016       4","31-03-2017       1","30-06-2017       2","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       4","31-03-2019       1"
"2","Sales/Revenue","231,356.50","167,435.00","140,385.00","140,585.00","249,098.53","132,468.00","148,488.00","187,188.00","242,061.39","121,985.00"
"3","Pretax Income","190,928.68","70,236.00","53,921.00","42,762.00","113,508.16","46,663.00","55,063.00","72,576.00","145,990.00","37,595.00"
"4","Net Income","164,031.77","54,438.00","42,199.00","32,829.00","91,105.98","36,261.00","42,518.00","54,086.00","90,366.08","28,870.00"
"5","Cash & Short-Term Investments","42,944.08","230,568.00","255,655.00","244,129.00","254,182.39","210,505.00","250,397.00","422,714.00","296,867.38","296,138.00"
"6","Cash Only","42,944.08","230,568.00","255,655.00","244,129.00","254,182.39","210,505.00","250,397.00","422,714.00","296,867.38","296,138.00"
"7","Total Accounts Receivables","501,669.91","275,081.00","273,285.00","273,317.00","224,944.22","277,307.00","246,034.00","184,563.00","118,984.37","119,161.00"
"8","Inventories","359,837.46","328,903.00","303,448.00","283,907.00","328,079.22","305,256.00","287,947.00","263,028.00","805,559.52","798,155.00"
"9","Net Property, Plant & Equipment","141,258.13","141,698.00","143,310.00","147,751.00","151,681.18","151,754.00","157,214.00","170,407.00","175,697.91","174,836.00"
"10","Short Term Debt","90,165.41","24,294.00","27,014.00","27,646.00","27,011.40","26,993.00","44,350.00","24,322.00","24,308.35","24,308.00"
"11","Long Term Debt","69,046.72","55,252.00","53,553.00","44,489.00","42,789.35","33,694.00","153,585.00","147,019.00","145,285.97","143,553.00"
"12","Net Operating Cash Flow","(8,472.19)","277,755.00","40,478.00","(14,821.00)","46,798.88","(16,301.00)","94,794.00","226,091.00","36,500.75","29,656.00"
"13","Capital Expenditures","(4,721.59)","(4,729.00)","(1,407.00)","(6,497.00)","(6,669.30)","(725.00)","(2,616.00)","(9,877.00)","(20,703.27)","(1,968.00)"
"14","Total Shares Outstanding (million)","1,029,591.00","1,029,591.00","1,029,591.00","1,027,104.00","1,025,222.00","1,020,113.00","1,017,216.00","1,017,216.00","1,017,216.00","1,017,216.00"
