"1","Financial Year","31-12-2007","31-12-2008","31-12-2009","31-12-2010","31-12-2011"
"2","Sales/Revenue","233,600.36","433,778.15","541,217.83","658,858.64","893,572.51"
"3","Pretax Income","104,858.04","168,340.78","206,190.30","242,592.22","327,446.89"
"4","Net Income","97,415.96","132,531.07","163,948.09","185,961.05","233,981.05"
"5","Cash & Short-Term Investments","152,837.02","185,967.77","306,583.31","422,155.90","668,187.77"
"6","Cash Only","152,837.02","185,967.77","306,583.31","422,155.90","668,187.77"
"7","Total Accounts Receivables","32,604.72","86,382.74","135,336.42","162,816.12","227,316.17"
"8","Inventories","6,001.73","7,398.60","10,254.12","16,799.94","29,089.91"
"9","Net Property, Plant & Equipment","22,577.86","100,991.32","115,790.22","135,288.11","143,023.66"
"10","Short Term Debt","63,359.11","22,755.59","97,015.57","55,003.18","24,722.02"
"11","Long Term Debt","-","69,287.23","-","-","-"
"12","Net Operating Cash Flow","85,971.36","110,766.62","133,985.85","164,638.20","227,795.51"
"13","Capital Expenditures","(2,139.05)","(116,678.01)","(17,536.38)","(28,396.49)","(14,118.74)"
"14","Total Shares Outstanding (million)","1,192,591.00","1,192,591.00","1,192,591.00","1,192,591.00","1,192,591.00"
