"1","Financial Year","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       4","31-03-2019       1","30-06-2019       2","30-09-2019       3","31-12-2019       4"
"2","Sales/Revenue","63,697.00","76,310.47","64,366.00","62,610.00","65,499.00","61,344.04","65,569.00","58,784.00","59,484.00","70,229.00"
"3","Pretax Income","9,188.00","14,282.89","10,944.00","7,336.00","8,938.00","12,545.39","10,777.00","11,412.00","8,511.00","18,023.00"
"4","Net Income","7,150.00","10,095.42","8,573.00","5,747.00","6,961.00","9,645.15","8,418.00","8,599.00","6,547.00","13,581.00"
"5","Cash & Short-Term Investments","78,518.00","87,616.73","98,734.00","76,696.00","82,880.00","87,416.85","92,811.00","104,434.00","114,459.00","85,334.00"
"6","Cash Only","26,596.00","14,782.74","51,234.00","20,154.00","19,533.00","17,973.07","17,862.00","21,430.00","33,855.00","11,388.00"
"7","Total Accounts Receivables","44,133.00","54,489.19","47,096.00","49,732.00","53,975.00","53,226.41","53,434.00","52,519.00","44,837.00","65,146.00"
"8","Inventories","39,882.00","37,182.46","37,109.00","36,256.00","32,678.00","36,157.69","32,321.00","31,399.00","32,906.00","35,099.00"
"9","Net Property, Plant & Equipment","115,467.00","114,607.45","112,848.00","111,245.00","109,267.00","103,677.52","101,961.00","100,358.00","99,483.00","100,833.00"
"10","Accrued Payable","8,683.00","11,165.69","8,224.00","-","-","-","-","-","-","-"
"11","Short Term Debt","-","-","-","-","-","-","243.00","195.00","268.00","452.00"
"12","Long Term Debt","-","-","-","-","-","-","223.00","29.00","7.00","266.00"
"13","Net Operating Cash Flow","15,173.00","11,515.44","13,356.00","(20,959.00)","7,034.00","2,669.18","5,980.00","12,832.00","12,347.00","(25,311.00)"
"14","Capital Expenditures","(1,349.00)","(2,167.37)","(947.00)","(1,176.00)","(928.00)","(744.46)","(431.00)","(1,362.00)","(1,825.00)","(3,621.00)"
"15","Total Shares Outstanding (million)","228,800.00","228,800.00","228,800.00","228,800.00","228,800.00","228,800.00","228,800.00","228,800.00","228,800.00","228,800.00"
