"1","Financial Year","30-06-2019       4","30-09-2019       1","31-12-2019       2","31-03-2020       3","30-06-2020       4","30-09-2020       1","31-12-2020       2","31-03-2021       3","30-06-2021       4","30-09-2021       1"
"2","Sales/Revenue","10,613.56","4,957.00","4,594.00","4,268.00","12,091.61","7,269.00","6,273.00","4,238.00","13,894.00","13,129.00"
"3","Pretax Income","6,565.41","(6,426.00)","11,068.00","(26,580.00)","15,617.39","16,481.00","19,743.00","(3,696.00)","28,887.00","(8,318.00)"
"4","Net Income","(4,162.76)","(3,611.00)","6,071.00","(14,445.00)","9,816.78","9,496.00","10,656.00","(1,862.00)","12,744.00","(5,007.00)"
"5","Cash & Short-Term Investments","267,951.00","248,654.00","233,885.00","220,706.00","228,063.00","223,009.00","226,413.00","224,867.00","237,235.22","247,716.00"
"6","Cash Only","267,951.00","248,654.00","233,885.00","220,706.00","228,063.00","223,009.00","226,413.00","224,867.00","237,235.22","247,716.00"
"7","Total Accounts Receivables","2,583.00","2,223.00","4,726.00","2,810.00","3,229.00","2,675.00","2,317.00","2,518.00","22,324.36","4,245.00"
"8","Inventories","19.00","456.00","85.00","177.00","29.00","415.00","212.00","363.00","66.83","348.00"
"9","Net Property, Plant & Equipment","341,846.00","344,982.00","344,712.00","345,733.00","346,009.00","346,401.00","346,585.00","346,484.00","338,137.43","337,639.00"
"10","Accrued Payable","4,874.00","5,355.00","4,107.00","4,690.00","5,161.00","4,870.00","6,543.00","5,002.00","5,846.97","5,648.00"
"11","Short Term Debt","-","250.00","250.00","250.00","105.00","106.00","107.00","108.00","109.76","111.00"
"12","Long Term Debt","-","2,843.00","2,881.00","2,907.00","2,839.00","2,874.00","2,909.00","2,945.00","2,729.37","2,763.00"
"13","Net Operating Cash Flow","(965.00)","(3,193.00)","(2,481.00)","(2,179.00)","(1,819.00)","(3,137.00)","211.00","(2,479.00)","(551.00)","2,916.00"
"14","Capital Expenditures","(1,923.00)","(515.00)","(356.00)","(1,674.00)","(992.00)","(1,046.00)","(850.00)","(582.00)","(534.00)","(168.00)"
"15","Total Shares Outstanding (million)","65,312.94","65,312.94","65,312.94","65,164.74","65,104.74","62,963.78","62,761.48","62,688.08","62,875.68","62,831.08"
