"1","Financial Year","30-06-2019       2","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       1","30-06-2021       2","30-09-2021       3"
"2","Sales/Revenue","63,613.00","44,101.00","64,585.61","48,299.00","27,614.00","83,914.00","34,323.39","27,726.00","22,061.00","19,515.00"
"3","Pretax Income","22,730.00","13,776.00","(2,404.22)","8,278.00","1,168.00","8,649.00","2,314.58","5,434.00","(1,183.00)","(457.00)"
"4","Net Income","16,638.00","7,603.00","326.91","4,460.00","1,763.00","6,030.00","(654.85)","4,690.00","(1,596.00)","(273.00)"
"5","Cash & Short-Term Investments","41,911.00","80,659.00","83,911.00","69,254.00","53,823.00","44,686.00","25,114.00","36,327.00","43,657.00","36,794.00"
"6","Total Accounts Receivables","175,928.00","113,249.00","106,876.00","84,784.00","85,315.00","123,733.00","79,639.00","84,505.00","66,334.00","58,386.00"
"7","Inventories","104,899.00","161,517.00","144,621.00","176,704.00","183,446.00","163,037.00","155,452.00","143,909.00","135,672.00","129,586.00"
"8","Net Property, Plant & Equipment","15,901.00","15,879.00","13,522.00","14,717.00","14,330.00","14,439.00","14,203.00","13,742.00","13,335.00","10,082.00"
"9","Accrued Payable","65,576.00","53,576.00","51,276.00","53,790.00","57,731.00","80,463.00","77,390.00","73,247.00","57,456.00","45,469.00"
"10","Short Term Debt","54,060.00","65,644.00","68,195.00","54,735.00","49,631.00","51,815.00","4,095.00","3,646.00","3,631.00","3,398.00"
"11","Long Term Debt","19,809.00","56,106.00","42,406.00","47,567.00","38,499.00","24,235.00","20,715.00","20,976.00","19,997.00","16,427.00"
"12","Net Operating Cash Flow","30,961.00","(3,288.00)","21,550.00","(4,003.00)","(522.00)","14,497.00","41,468.00","12,013.00","9,287.00","2,259.00"
"13","Capital Expenditures","(259.00)","(3,370.00)","290.00","(132.00)","(93.00)","(693.00)","106.00","(18.00)","(15.00)","-"
"14","Total Shares Outstanding (million)","290,200.69","288,793.49","288,793.49","288,793.49","288,793.49","306,841.93","306,841.93","319,786.93","316,080.83","314,327.74"
