"1","Financial Year","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       Other","30-06-2021       Other","30-09-2021       1","31-12-2021       2"
"2","Sales/Revenue","65,887.00","87,351.00","49,399.00","46,868.00","46,779.00","46,505.00","42,758.00","64,976.00","38,476.00","43,627.00"
"3","Pretax Income","4,237.00","13,010.00","(1,619.00)","(2,324.00)","(4,312.00)","(2,763.00)","(4,692.00)","(23,531.00)","(3,775.00)","(116.00)"
"4","Net Income","3,854.00","13,764.00","(2,100.00)","(1,663.00)","(4,877.00)","(3,769.00)","(4,955.00)","(23,305.00)","(4,556.00)","(481.00)"
"5","Cash & Short-Term Investments","46,895.00","32,228.00","27,586.00","16,165.00","5,323.00","26,474.00","18,019.00","22,433.00","24,224.00","33,526.00"
"6","Cash Only","46,895.00","32,228.00","27,586.00","16,165.00","5,323.00","26,474.00","18,019.00","22,433.00","24,224.00","33,526.00"
"7","Total Accounts Receivables","108,118.00","117,085.00","102,879.00","123,501.00","114,744.00","80,858.00","87,408.00","96,908.00","102,545.00","89,589.00"
"8","Inventories","23,924.00","14,087.00","28,249.00","24,202.00","25,767.00","54,423.00","74,360.00","3,494.00","3,784.00","3,755.00"
"9","Net Property, Plant & Equipment","18,759.00","17,565.00","96,030.00","95,829.00","86,338.00","74,644.00","68,491.00","50,964.00","46,065.00","44,494.00"
"10","Short Term Debt","7,554.00","8,529.00","35,582.00","35,958.00","32,897.00","46,027.00","41,916.00","32,481.00","35,550.00","30,562.00"
"11","Long Term Debt","6,235.00","4,730.00","57,123.00","55,344.00","49,930.00","29,162.00","26,366.00","18,911.00","18,474.00","17,078.00"
"12","Net Operating Cash Flow","7,623.00","(13,280.00)","(2,065.00)","(10,413.00)","(9,820.00)","22,111.00","(8,411.00)","(2,355.00)","(4,565.00)","10,210.00"
"13","Capital Expenditures","(347.00)","(360.00)","(12.00)","(226.00)","(136.00)","(289.00)","(667.00)","(1,081.00)","(286.00)","(142.00)"
"14","Total Shares Outstanding (million)","318,371.26","318,371.26","318,371.00","318,371.00","318,371.00","318,378.94","318,378.68","318,378.68","318,379.00","318,379.00"
