"1","Financial Year","30-04-2013","30-04-2014","30-04-2015","30-04-2016","30-04-2017","30-04-2018","30-04-2019","30-04-2020","30-04-2021","31-07-2021       TTM"
"2","Sales/Revenue","108,794.00","118,081.18","133,398.75","120,952.90","125,446.54","129,241.56","166,845.21","244,678.00","304,213.00","289,035.48"
"3","Pretax Income","12,662.00","10,925.61","13,292.20","8,472.68","8,121.99","4,486.23","2,492.46","(5,456.00)","17,327.00","15,929.26"
"4","Net Income","9,387.00","7,455.64","9,546.54","5,706.88","5,112.99","2,661.01","1,415.33","(7,079.00)","15,461.00","13,909.80"
"5","Cash & Short-Term Investments","12,478.00","16,786.87","9,063.79","29,488.12","17,999.92","16,409.25","22,336.24","16,180.00","42,280.00","40,085.25"
"6","Cash Only","12,478.00","4,551.05","9,063.79","11,175.66","10,759.92","8,934.99","14,614.03","14,580.00","37,155.00","34,220.00"
"7","Total Accounts Receivables","27,031.00","30,635.01","32,302.50","34,246.47","38,717.42","39,365.35","58,576.05","62,732.00","70,327.00","69,786.25"
"8","Inventories","34,489.00","41,940.80","44,633.41","43,219.19","50,142.06","51,727.17","81,060.55","81,416.00","67,197.00","72,694.25"
"9","Net Property, Plant & Equipment","31,387.00","22,614.07","37,116.43","38,207.99","40,864.35","47,083.67","56,190.89","61,906.00","60,089.00","60,028.25"
"10","Accrued Payable","3,897.00","-","-","-","-","-","-","-","-","-"
"11","Short Term Debt","9,531.00","5,136.53","15,529.25","3,741.80","4,922.79","12,603.83","27,941.63","34,215.00","18,784.00","26,840.50"
"12","Long Term Debt","607.00","2,395.13","8,495.38","5,999.22","2,570.08","2,256.21","20,116.54","21,664.00","10,626.00","13,562.50"
"13","Net Operating Cash Flow","14,782.00","1,142.53","5,835.05","7,115.40","(3,790.09)","2,083.25","(6,405.20)","462.00","25,885.00","18,753.00"
"14","Capital Expenditures","(12,521.00)","(4,683.40)","(8,243.41)","(3,098.17)","(5,212.37)","(9,395.80)","(3,604.47)","-","(1,195.00)","(1,423.00)"
"15","Total Shares Outstanding (million)","150,000.00","350,001.17","350,001.17","386,417.16","389,056.86","391,336.43","392,130.86","396,148.00","519,372.00","519,372.00"
