"1","Financial Year","30-09-2019       3","31-12-2019       Other","31-03-2020       Other","30-06-2020       Other","30-09-2020       1","31-12-2020       2","31-03-2021       3","30-06-2021       4","30-09-2021       1","31-12-2021       2"
"2","Sales/Revenue","11,241.00","4,808.00","12,503.00","46,609.00","13,147.00","19,892.00","21,885.00","15,123.07","9,481.00","17,390.00"
"3","Pretax Income","2,474.00","572.00","2,896.00","2,388.00","1,002.00","1,606.00","1,707.00","4,966.31","(2,193.00)","2,590.00"
"4","Net Income","2,111.00","91.00","1,417.00","1,815.00","400.00","620.00","655.00","2,193.41","(1,655.00)","1,229.00"
"5","Cash & Short-Term Investments","55,491.00","46,610.00","39,954.00","35,394.00","47,720.00","47,944.00","78,592.00","68,151.00","59,313.00","62,599.00"
"6","Total Accounts Receivables","279,989.00","283,462.00","285,373.00","302,378.00","279,045.00","281,428.00","259,862.00","293,068.00","296,408.00","296,528.00"
"7","Inventories","2,129.00","1,977.00","1,962.00","1,816.00","1,756.00","1,634.00","81,641.00","91,521.00","84,046.00","82,075.00"
"8","Net Property, Plant & Equipment","17,572.00","17,107.00","16,559.00","17,174.00","16,789.00","16,381.00","18,178.00","17,115.00","16,591.00","15,899.00"
"9","Accrued Payable","29,136.00","24,201.00","20,305.00","19,703.00","12,821.00","11,659.00","18,928.00","42,173.00","34,250.00","31,230.00"
"10","Short Term Debt","14,409.00","16,078.00","17,464.00","21,267.00","15,839.00","12,884.00","72,835.00","72,404.00","30,819.00","31,341.00"
"11","Long Term Debt","9,305.00","7,313.00","6,776.00","5,555.00","5,537.00","5,069.00","4,397.00","4,324.00","43,853.00","43,216.00"
"12","Net Operating Cash Flow","(15,195.00)","(7,336.00)","(20,020.00)","(29,288.00)","17,731.00","(716.00)","(56,004.00)","(2,478.00)","(2,257.00)","1,748.00"
"13","Capital Expenditures","-","-","-","-","-","-","(2,295.00)","2,295.00","-","-"
"14","Total Shares Outstanding (million)","5,664,535.69","5,664,535.69","5,664,539.07","5,664,535.69","566,453.90","572,259.08","906,445.25","906,455.00","906,455.00","969,100.08"
