"1","Financial Year","31-12-2010","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","30-06-2018","30-06-2019","30-06-2020"
"2","Sales/Revenue","184,264.00","118,597.00","108,642.00","109,385.00","116,563.00","120,260.00","183,029.00","411,416.00","204,706.00","130,286.00"
"3","Pretax Income","2,663.00","(32,503.00)","3,595.00","2,343.00","5,361.00","5,433.00","15,057.00","9,076.00","(26,297.00)","21,284.00"
"4","Net Income","1,408.00","(32,587.00)","2,355.00","4,762.00","2,555.00","3,694.00","10,400.00","4,800.00","(25,903.00)","18,751.00"
"5","Cash & Short-Term Investments","39,529.00","14,981.00","13,225.00","28,877.00","7,747.00","52,983.00","10,363.00","16,977.00","8,892.00","6,757.00"
"6","Cash Only","39,529.00","14,981.00","13,225.00","28,877.00","7,747.00","52,983.00","10,363.00","16,977.00","8,892.00","6,757.00"
"7","Total Accounts Receivables","102,045.00","60,863.00","74,133.00","63,915.00","71,926.00","84,191.00","145,005.00","138,347.00","114,532.00","122,585.00"
"8","Inventories","5,906.00","11,111.00","6,523.00","26,349.00","58,888.00","68,474.00","82,905.00","76,224.00","14,093.00","12,710.00"
"9","Net Property, Plant & Equipment","37,853.00","128,247.00","38,431.00","44,187.00","38,159.00","33,046.00","88,309.00","96,699.00","70,668.00","55,030.00"
"10","Accrued Payable","34,923.00","4,731.00","-","-","-","34,786.00","18,030.00","-","-","-"
"11","Short Term Debt","981.00","987.00","5,756.00","8,479.00","10,337.00","25,058.00","60,885.00","50,165.00","40,508.00","39,158.00"
"12","Long Term Debt","1,149.00","12,889.00","30,764.00","41,882.00","40,117.00","49,795.00","76,894.00","70,137.00","61,468.00","25,574.00"
"13","Net Operating Cash Flow","4,007.00","14,479.00","(6,462.00)","15,259.00","(31,045.00)","(34,069.00)","(37,298.00)","32,516.00","14,356.00","(18,472.00)"
"14","Capital Expenditures","(9,005.00)","(21,688.00)","(5,157.00)","(9,026.00)","(985.00)","(319.00)","(1,949.00)","(2,444.00)","(244.00)","(109.00)"
"15","Total Shares Outstanding (million)","126,829.00","126,829.00","126,829.00","126,828.83","130,187.05","174,450.00","174,450.00","174,450.00","174,450.00","174,450.00"
