"1","Financial Year","30-06-2011","30-06-2012","30-06-2013","30-06-2014","30-06-2015","30-06-2016","30-06-2017","30-06-2018","30-06-2019","30-06-2020"
"2","Sales/Revenue","1,208,378.00","1,633,808.00","2,237,180.00","2,551,690.00","2,358,183.00","2,534,483.00","3,392,884.00","3,110,579.00","2,386,453.00","2,303,448.00"
"3","Pretax Income","200,507.00","224,918.00","232,332.00","276,502.00","370,495.00","368,726.00","448,768.00","628,092.00","652,996.00","747,279.00"
"4","Net Income","152,298.00","177,001.00","193,298.00","215,869.00","275,130.00","294,929.00","370,644.00","510,371.00","535,836.00","630,363.00"
"5","Cash & Short-Term Investments","195,971.00","312,279.00","630,898.00","503,242.00","866,316.00","944,383.00","1,425,358.00","1,264,966.00","884,403.00","1,240,389.00"
"6","Cash Only","195,971.00","312,279.00","461,617.00","383,231.00","475,201.00","615,689.00","938,870.00","822,118.00","551,294.00","-"
"7","Total Accounts Receivables","316,338.00","520,772.00","573,128.00","701,577.00","779,989.00","743,203.00","1,211,221.00","956,476.00","1,199,384.00","1,163,689.00"
"8","Inventories","65,091.00","97,816.00","77,715.00","106,279.00","89,586.00","86,095.00","83,857.00","92,416.00","95,593.00","84,708.00"
"9","Net Property, Plant & Equipment","223,718.00","395,754.00","667,781.00","892,408.00","672,309.00","833,756.00","853,038.00","1,603,044.00","1,935,965.00","2,563,036.00"
"10","Accrued Payable","-","-","-","-","-","-","-","-","-","930,803.00"
"11","Short Term Debt","51,629.00","69,105.00","108,278.00","123,561.00","265,108.00","161,545.00","415,104.00","377,542.00","356,188.00","463,066.00"
"12","Long Term Debt","58,421.00","254,788.00","690,914.00","836,703.00","593,809.00","713,537.00","1,008,611.00","1,232,752.00","1,318,175.00","1,467,778.00"
"13","Net Operating Cash Flow","168,312.00","129,354.00","344,084.00","130,151.00","406,727.00","442,168.00","591,756.00","441,650.00","334,298.00","846,553.00"
"14","Capital Expenditures","(59,671.00)","(216,285.00)","(427,921.00)","(262,356.00)","(113,510.00)","(149,572.00)","(102,576.00)","(380,443.00)","(523,196.00)","(859,354.00)"
"15","Total Shares Outstanding (million)","4,343,478.00","4,804,751.00","4,854,497.02","4,856,833.32","5,079,957.40","5,266,150.95","5,588,668.97","5,638,306.97","5,638,307.27","5,638,307.27"
