"1","Financial Year","31-10-2019       3","31-01-2020       4","30-04-2020       Other","31-07-2020       Other","31-10-2020       1","31-01-2021       2","30-04-2021       3","31-07-2021       4","31-10-2021       1","31-01-2022       2"
"2","Sales/Revenue","517.00","1,559.00","1,189.00","3,955.00","530.00","514.00","675.00","1,631.63","432.00","-"
"3","Pretax Income","(350.00)","433.00","670.00","766.00","(283.00)","(440.00)","(774.00)","(354.59)","(1,198.00)","(709.00)"
"4","Net Income","(350.00)","433.00","670.00","453.00","(283.00)","(440.00)","(762.00)","(375.27)","(1,677.00)","(709.00)"
"5","Cash & Short-Term Investments","64.00","217.00","168.00","171.00","192.00","1,363.00","3,153.00","1,292.00","201.00","202.00"
"6","Cash Only","64.00","217.00","168.00","171.00","192.00","1,363.00","3,153.00","1,292.00","201.00","202.00"
"7","Total Accounts Receivables","36,126.00","35,955.00","36,410.00","17,907.00","18,430.00","18,944.00","19,579.00","16,985.00","1,125.00","872.00"
"8","Net Property, Plant & Equipment","302.00","283.00","260.00","22,852.00","22,945.00","22,993.00","22,914.00","22,844.00","39,285.00","39,245.00"
"9","Short Term Debt","-","-","140.00","111.00","83.00","171.00","144.00","94.00","22.00","-"
"10","Long Term Debt","-","-","96.00","74.00","51.00","26.00","2.00","-","-","-"
"11","Net Operating Cash Flow","(387.00)","1,198.00","1,433.00","24,105.00","26.00","2,049.00","(3,825.00)","(3,386.00)","(2,242.00)","(860.00)"
"12","Capital Expenditures","-","(3.00)","(3.00)","(22,617.00)","-","-","(3.00)","-","-","-"
"13","Total Shares Outstanding (million)","883,077.61","883,090.91","883,090.91","883,090.91","883,090.91","958,090.91","1,038,090.91","1,059,090.91","1,074,090.91","1,074,090.91"
