"1","Financial Year","30-06-2019       4","30-09-2019       1","31-12-2019       2","31-03-2020       3","30-06-2020       4","30-09-2020       1","31-12-2020       2","31-03-2021       3","30-06-2021       4","30-09-2021       1"
"2","Sales/Revenue","11,945.00","11,162.00","13,636.00","31,684.00","39,361.00","57,063.00","90,064.00","137,659.00","101,305.00","43,784.00"
"3","Pretax Income","2,766.00","1,525.00","2,426.00","3,847.00","10,108.00","11,049.00","12,600.00","19,346.00","8,407.00","4,520.00"
"4","Net Income","2,312.00","948.00","1,860.00","2,674.00","7,304.00","8,146.00","9,252.00","14,146.00","5,919.00","3,149.00"
"5","Cash & Short-Term Investments","1,506.00","9,976.00","7,412.00","24,718.00","89,785.00","93,171.00","120,981.00","107,034.00","104,100.00","73,892.00"
"6","Cash Only","-","-","-","-","-","-","-","-","104,100.00","73,892.00"
"7","Total Accounts Receivables","9,772.00","19,057.00","32,610.00","48,469.00","54,991.00","88,889.00","158,363.00","195,390.00","166,365.00","198,300.00"
"8","Inventories","8,921.00","7,387.00","6,779.00","6,978.00","2,017.00","2,044.00","1,948.00","2,005.00","2,794.00","2,501.00"
"9","Net Property, Plant & Equipment","12,769.00","12,649.00","12,588.00","13,006.00","12,798.00","12,588.00","20,086.00","20,212.00","22,844.00","23,984.00"
"10","Short Term Debt","957.00","10,721.00","653.00","10,800.00","10,834.00","2,143.00","39,404.00","39,087.00","53,275.00","38,397.00"
"11","Long Term Debt","2,348.00","2,400.00","2,431.00","2,716.00","1,674.00","184.00","5,323.00","5,657.00","6,540.00","7,057.00"
"12","Net Operating Cash Flow","(4,251.00)","(1,266.00)","(2,254.00)","4,288.00","9,821.00","3,664.00","4,242.00","(12,858.00)","(13,431.00)","(20,719.00)"
"13","Capital Expenditures","(272.00)","(48.00)","(115.00)","-","(16.00)","(26.00)","(29.00)","(43.00)","(2,759.00)","(2,145.00)"
"14","Total Shares Outstanding (million)","76,150.00","-","76,150.00","83,764.94","76,150.00","113,083.00","452,332.00","452,331.00","452,330.65","452,330.65"
