"1","Financial Year","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-12-2020","30-06-2021"
"2","Sales/Revenue","144,594.00","85,800.00","86,802.00","95,550.00","178,455.00","203,938.00","293,452.00","290,486.00","239,520.00","330,503.00"
"3","Pretax Income","114.00","3,904.00","27,677.00","23,427.00","141,820.00","66,591.00","66,647.00","47,577.00","(4,254.00)","77,406.00"
"4","Net Income","(7,779.00)","(5,971.00)","12,215.00","11,226.00","133,510.00","56,599.00","35,345.00","30,037.00","1,096.00","119,976.00"
"5","Cash & Short-Term Investments","75,707.00","64,401.00","70,828.00","46,120.00","72,283.00","51,834.00","38,998.00","54,399.00","66,191.00","267,680.00"
"6","Cash Only","-","5,863.00","19,163.00","-","-","20,585.00","28,911.00","47,081.00","-","-"
"7","Total Accounts Receivables","44,103.00","39,655.00","53,927.00","95,573.00","71,826.00","89,059.00","188,174.00","149,179.00","149,201.00","135,008.00"
"8","Inventories","1,808.00","65.00","-","-","649.00","2,770.00","3,021.00","1,316.00","2,744.00","15,370.00"
"9","Net Property, Plant & Equipment","34,606.00","15,639.00","14,143.00","21,250.00","32,255.00","65,279.00","68,190.00","73,655.00","137,541.00","655,848.00"
"10","Accrued Payable","-","16,299.76","12,685.26","50,733.00","42,059.00","30,530.00","89,079.00","46,880.00","59,306.00","128,519.00"
"11","Short Term Debt","18,500.00","18,494.00","18,494.00","18,495.00","-","1,320.00","29,611.00","50,328.00","106,205.00","70,930.00"
"12","Long Term Debt","48,886.00","38,530.00","20,036.00","1,541.00","-","18,680.00","17,964.00","21,768.00","17,867.00","473,109.00"
"13","Net Operating Cash Flow","(69,103.00)","32,141.00","43,300.00","20,977.00","54,403.00","2,845.00","40,326.00","9,774.00","4,967.00","18,366.00"
"14","Capital Expenditures","(16,093.00)","(2,883.00)","(6,783.00)","(18,385.00)","(5,927.00)","(31,102.00)","(22,321.00)","(10,784.00)","(72,747.00)","(101,382.00)"
"15","Total Shares Outstanding (million)","807,454.00","807,454.35","807,454.35","807,454.35","1,732,891.00","1,755,372.00","1,758,035.48","1,758,090.48","1,908,090.48","2,709,775.13"
