"1","Financial Year","30-09-2019       Other","31-12-2019       Other","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       1","30-06-2021       2","30-09-2021       3","31-12-2021       4"
"2","Sales/Revenue","10,963.00","7,858.00","7,713.00","7,362.00","8,551.00","12,591.00","7,674.00","7,441.00","6,022.00","14,853.00"
"3","Pretax Income","(768.00)","(2,222.00)","(2,563.00)","(1,925.00)","(2,308.00)","(2,971.00)","(2,817.00)","(5,224.00)","(2,940.00)","(163.00)"
"4","Net Income","(767.00)","(2,205.00)","(2,557.00)","(1,915.00)","(2,288.00)","(2,967.00)","(2,688.00)","(5,308.00)","(2,600.00)","(343.00)"
"5","Cash & Short-Term Investments","7,000.00","9,586.00","8,545.00","8,056.00","7,535.00","18,404.00","17,103.00","75,723.00","56,939.00","30,993.00"
"6","Cash Only","7,000.00","9,586.00","8,545.00","8,056.00","7,535.00","18,404.00","17,103.00","75,723.00","56,939.00","30,993.00"
"7","Total Accounts Receivables","19,649.00","13,574.00","13,171.00","13,217.00","17,808.00","17,527.00","19,518.00","17,455.00","33,105.00","55,403.00"
"8","Inventories","292.00","225.00","230.00","283.00","242.00","202.00","213.00","205.00","200.00","180.00"
"9","Net Property, Plant & Equipment","5,052.00","4,526.00","3,973.00","3,442.00","4,065.00","3,603.00","3,365.00","2,974.00","4,520.00","4,032.00"
"10","Short Term Debt","6,266.00","6,377.00","8,147.00","8,973.00","8,772.00","5,497.00","6,014.00","6,672.00","3,402.00","5,054.00"
"11","Long Term Debt","650.00","473.00","294.00","112.00","538.00","383.00","231.00","92.00","2,709.00","1,077.00"
"12","Net Operating Cash Flow","731.00","(606.00)","(2,775.00)","(1,212.00)","(4,767.00)","(1,184.00)","(3,327.00)","(6,932.00)","(18,038.00)","(13,804.00)"
"13","Capital Expenditures","400.00","656.00","-","(12.00)","-","(65.00)","(259.00)","(75.00)","(114.00)","355.00"
"14","Total Shares Outstanding (million)","437,395.82","463,535.32","463,535.00","463,535.00","493,655.81","602,595.82","613,829.32","669,827.42","669,970.42","670,470.42"
