"1","Financial Year","31-12-2009","31-12-2010","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017"
"2","Sales/Revenue","301,023.00","335,921.31","386,031.62","412,286.04","297,840.10","230,336.69","194,152.39","14,085.92","-"
"3","Pretax Income","82,272.00","88,181.26","94,824.15","104,312.89","57,622.97","26,563.94","(62,349.68)","(86,707.56)","(142,426.60)"
"4","Net Income","61,231.00","65,142.64","69,856.08","77,679.34","41,709.57","16,812.52","(65,156.08)","(86,707.05)","(142,426.43)"
"5","Cash & Short-Term Investments","53,313.00","139,006.78","212,265.34","243,708.45","354,132.15","371,284.35","366,712.62","360,673.37","347,206.23"
"6","Cash Only","53,313.00","139,006.78","212,196.77","243,246.35","353,734.73","371,270.86","366,712.62","360,673.37","347,206.23"
"7","Total Accounts Receivables","104,781.00","87,256.01","127,120.29","138,731.09","68,718.80","63,495.44","50,046.44","6,713.34","68.53"
"8","Inventories","2,052.00","9,115.95","7,830.64","8,817.45","7,430.81","4,880.81","2,404.92","-","-"
"9","Net Property, Plant & Equipment","31,351.00","28,033.21","31,719.19","31,674.88","44,431.14","70,521.77","84,824.09","28,905.01","27,490.55"
"10","Accrued Payable","5,958.00","6,668.92","8,929.51","9,106.65","13,362.29","19,754.21","-","-","126,557.35"
"11","Long Term Debt","-","-","-","-","-","-","-","-","-"
"12","Net Operating Cash Flow","39,233.00","93,448.78","47,220.82","74,105.11","97,467.98","26,361.84","(67,468.42)","5,863.12","(5,686.71)"
"13","Capital Expenditures","(378.00)","(322.56)","(2,975.15)","(28,599.68)","(14,187.75)","(25,320.19)","(5,187.57)","-","-"
"14","Total Shares Outstanding (million)","336,250.00","336,250.00","399,382.00","399,155.00","399,056.00","397,861.00","398,861.00","398,860.60","398,860.60"
