"1","Financial Year","30-09-2019       Other","31-12-2019       Other","31-03-2020       Other","30-06-2020       Other","30-09-2020       1","31-12-2020       2","31-03-2021       3","30-06-2021       4","30-09-2021       1","31-12-2021       2"
"2","Sales/Revenue","260,610.00","283,054.00","259,226.00","163,289.00","180,788.00","240,568.00","217,370.00","208,256.00","202,709.00","239,635.00"
"3","Pretax Income","2,328.00","(39,721.00)","(96,434.00)","48,769.00","(44,547.00)","26,191.00","(28,620.00)","(8,409.00)","12,883.00","(9,676.00)"
"4","Net Income","3,060.00","(42,112.00)","(98,201.00)","30,547.00","(44,863.00)","23,441.00","(26,765.00)","(20,450.00)","6,220.00","(11,436.00)"
"5","Cash & Short-Term Investments","822,101.00","857,840.00","757,376.00","749,284.00","688,660.00","642,007.00","513,133.00","434,141.00","372,501.00","332,670.00"
"6","Total Accounts Receivables","1,052,875.00","1,177,165.00","1,106,934.00","932,987.00","618,855.00","679,657.00","613,304.00","607,889.00","586,476.00","538,080.00"
"7","Inventories","37,916.00","39,367.00","37,176.00","38,219.00","41,855.00","42,182.00","50,876.00","49,564.00","52,854.00","31,053.00"
"8","Net Property, Plant & Equipment","645,756.00","592,855.00","557,290.00","599,563.00","575,171.00","597,540.00","634,325.00","633,649.00","638,454.00","635,290.00"
"9","Accrued Payable","-","-","1,042,737.00","996,978.00","831,435.00","880,836.00","815,884.00","785,538.00","798,092.00","857,460.00"
"10","Short Term Debt","347,759.00","313,681.00","361,305.00","354,410.00","283,580.00","325,373.00","341,100.00","371,566.00","360,010.00","311,584.00"
"11","Long Term Debt","2,461,237.00","2,706,337.00","2,578,229.00","2,623,862.00","2,681,053.00","2,611,143.00","2,633,691.00","2,599,263.00","2,619,456.00","2,626,231.00"
"12","Net Operating Cash Flow","(119,323.00)","(171,971.00)","48,191.00","(108,183.00)","(61,820.00)","(34,619.00)","(75,712.00)","23,468.00","(23,482.00)","40,603.00"
"13","Capital Expenditures","(35,469.00)","(10,852.00)","30,797.00","(55,248.00)","(1,889.00)","(6,148.00)","(48,348.00)","(4,326.00)","(11,371.00)","(7,949.00)"
"14","Total Shares Outstanding (million)","-","596,435.14","596,435.14","596,435.14","596,434.82","596,434.82","596,434.82","596,434.82","596,434.82","596,434.82"
