"1","Financial Year","31-12-2018       2","31-03-2019       3","30-06-2019       4","30-09-2019       1","31-12-2019       2","31-03-2020       3","30-06-2020       4","30-09-2020       1","31-12-2020       2","31-03-2021       3"
"2","Sales/Revenue","58,480.00","54,047.00","87,328.00","52,187.00","64,791.00","50,224.00","34,512.00","59,727.00","54,932.00","53,855.00"
"3","Pretax Income","10,903.00","7,298.00","4,217.00","5,090.00","4,735.00","5,406.00","3,928.00","7,588.00","9,574.00","9,435.00"
"4","Net Income","8,256.00","5,466.00","3,129.00","3,762.00","3,530.00","4,150.00","3,033.00","5,695.00","7,194.00","6,809.00"
"5","Cash & Short-Term Investments","48,706.00","53,261.00","59,421.00","61,154.00","63,722.00","68,003.00","70,458.00","87,024.00","99,429.00","111,052.00"
"6","Cash Only","-","-","15,246.00","-","-","-","-","21,187.00","18,324.00","19,934.00"
"7","Total Accounts Receivables","62,669.00","52,603.00","54,694.00","50,733.00","51,569.00","49,352.00","35,937.00","38,729.00","38,523.00","36,973.00"
"8","Inventories","97,802.00","96,456.00","77,590.00","82,787.00","88,613.00","87,474.00","83,071.00","73,120.00","71,927.00","68,149.00"
"9","Net Property, Plant & Equipment","61,848.00","60,090.00","60,311.00","59,074.00","66,310.00","63,762.00","64,354.00","62,561.00","63,086.00","60,690.00"
"10","Short Term Debt","13,372.00","6,053.00","1,018.00","7,398.00","12,088.00","14,300.00","7,176.00","7,265.00","11,404.00","12,101.00"
"11","Long Term Debt","-","-","8,258.00","-","10,776.00","9,868.00","4,175.00","2,990.00","3,073.00","2,948.00"
"12","Net Operating Cash Flow","25,409.00","13,857.00","3,539.00","6,506.00","(904.00)","7,479.00","17,599.00","20,529.00","10,999.00","13,479.00"
"13","Capital Expenditures","(13,925.00)","827.00","(1,188.00)","(278.00)","(542.00)","(127.00)","(96.00)","(152.00)","(219.00)","(82.00)"
"14","Total Shares Outstanding (million)","159,915.00","159,915.00","159,915.00","-","159,915.00","158,652.70","158,652.70","158,652.70","158,652.70","158,652.70"
