"1","Financial Year","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       1","30-06-2021       2","30-09-2021       3","31-12-2021       4"
"2","Sales/Revenue","87,709.00","87,564.72","85,098.00","70,094.00","91,836.00","87,389.00","86,619.00","92,712.00","85,570.00","95,264.00"
"3","Pretax Income","10,828.00","9,609.59","3,311.00","(9,709.00)","17,106.00","8,960.00","8,989.00","11,711.00","8,186.00","11,798.00"
"4","Net Income","7,336.00","7,877.05","1,314.00","(5,909.00)","12,143.00","5,977.00","5,910.00","8,038.00","5,539.00","8,671.00"
"5","Cash & Short-Term Investments","158,400.00","178,901.04","148,496.00","194,934.00","207,195.00","213,732.00","254,180.00","215,261.00","256,118.00","281,719.00"
"6","Cash Only","128,991.00","112,633.87","111,559.00","119,775.00","136,730.00","148,937.00","147,029.00","110,613.00","188,658.00","180,081.00"
"7","Total Accounts Receivables","147,888.00","115,644.96","118,531.00","137,087.00","132,247.00","141,261.00","159,869.00","152,503.00","149,878.00","151,807.00"
"8","Inventories","112,923.00","63,895.47","69,370.00","61,259.00","46,586.00","60,784.00","40,550.00","90,200.00","54,399.00","64,048.00"
"9","Net Property, Plant & Equipment","105,829.00","106,322.65","105,758.00","111,738.00","105,591.00","99,658.00","98,510.00","96,350.00","95,459.00","98,115.00"
"10","Accrued Payable","33,251.00","159,754.95","20,038.00","46,892.00","44,534.00","-","-","-","-","-"
"11","Short Term Debt","50,710.00","13,487.47","14,249.00","14,545.00","15,946.00","14,310.00","44,289.00","54,701.00","40,154.00","40,045.00"
"12","Long Term Debt","18,031.00","28,025.65","23,502.00","22,625.00","19,076.00","16,925.00","21,917.00","19,954.00","18,259.00","18,585.00"
"13","Net Operating Cash Flow","(11,988.00)","79,334.71","(29,114.00)","63,382.00","12,052.00","17,005.00","14,672.00","(33,793.00)","67,402.00","38,857.00"
"14","Capital Expenditures","(10,949.00)","7,870.74","(8,696.00)","(16,956.00)","(2,802.00)","(6,862.00)","(9,930.00)","(13,453.00)","(9,358.00)","(10,586.00)"
"15","Total Shares Outstanding (million)","749,209.14","749,209.14","749,209.14","759,270.35","1,141,494.81","1,141,499.84","1,141,499.84","1,141,499.84","1,141,499.84","1,141,499.84"
