"1","Financial Year","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM"
"2","Sales/Revenue","105,143.87","57,089.91","173,321.98","160,392.05","156,439.05"
"3","Pretax Income","35,287.89","16,357.74","60,781.27","44,480.52","44,680.52"
"4","Net Income","40,906.98","16,077.51","59,304.41","44,349.00","44,621.00"
"5","Cash & Short-Term Investments","66,483.17","46,438.37","52,633.61","203,405.01","187,525.00"
"6","Cash Only","66,483.17","46,438.37","52,633.61","19,799.12","81,458.00"
"7","Total Accounts Receivables","9,740.83","13,272.18","39,308.18","71,907.57","66,341.00"
"8","Inventories","16,936.24","22,656.66","36,433.92","43,354.25","42,096.00"
"9","Net Property, Plant & Equipment","4,190.33","4,060.39","26,957.08","57,590.75","71,499.00"
"10","Accrued Payable","-","-","-","-","20,341.00"
"11","Short Term Debt","-","-","-","-","2,377.00"
"12","Long Term Debt","-","-","-","4,369.95","3,642.00"
"13","Net Operating Cash Flow","49,296.07","9,160.89","41,110.36","11,568.63","15,546.63"
"14","Capital Expenditures","(1,710.64)","(1,377.03)","(31,413.58)","(33,327.84)","(46,324.84)"
"15","Total Shares Outstanding (million)","365,572.00","365,572.00","365,572.00","500,000.00","500,000.00"
"16","Financial Year","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       4","31-03-2019       1"
"16","Pretax Income","6,694.00","16,620.00","14,047.00","7,118.52","6,895.00"
"17","Net Income","6,598.00","16,600.00","13,994.00","7,157.00","6,870.00"
"17","Sales/Revenue","33,435.00","54,335.00","41,563.00","31,058.05","29,483.00"
"18","Cash & Short-Term Investments","54,220.00","229,192.00","213,794.00","203,405.01","187,525.00"
"19","Cash Only","54,220.00","229,192.00","213,794.00","19,799.12","81,458.00"
"20","Total Accounts Receivables","46,113.00","78,150.00","75,494.00","74,565.49","66,341.00"
"21","Inventories","41,470.00","44,664.00","44,889.00","43,354.25","42,096.00"
"22","Net Property, Plant & Equipment","27,973.00","34,460.00","43,490.00","57,590.75","71,499.00"
"23","Accrued Payable","23,615.00","51,864.00","30,794.00","35,769.10","20,341.00"
"24","Short Term Debt","1,630.00","1,658.00","1,647.00","-","2,377.00"
"25","Long Term Debt","6,521.00","6,218.00","5,765.00","4,369.95","3,642.00"
"26","Net Operating Cash Flow","(3,767.00)","(5,865.00)","7,587.00","13,613.63","211.00"
"27","Capital Expenditures","(1,553.00)","(7,072.00)","(9,761.00)","(14,941.84)","(14,550.00)"
"28","Total Shares Outstanding (million)","365,572.00","500,000.00","500,000.00","500,000.00","500,000.00"
