"1","Financial Year","30-06-2019       2","30-09-2019       3","31-12-2019       Other","31-03-2020       Other","30-06-2020       1","30-09-2020       2","31-12-2020       3","31-03-2021       4","30-06-2021       1","30-09-2021       2"
"2","Sales/Revenue","27,430.00","21,175.00","16,876.00","12,958.00","12,295.00","18,825.00","21,547.00","20,926.75","20,576.00","19,979.00"
"3","Pretax Income","203.00","(6,895.00)","(15,072.00)","(20,777.00)","(2,732.00)","(2,271.00)","(12,155.00)","(1,040.37)","1,999.00","4,308.00"
"4","Net Income","177.00","(6,977.00)","(15,237.00)","(20,396.00)","(2,832.00)","(2,425.00)","(12,762.00)","(2,140.51)","1,585.00","4,044.00"
"5","Cash & Short-Term Investments","5,636.00","4,181.00","6,094.00","7,938.00","5,739.00","6,218.00","6,092.00","9,404.00","8,946.00","15,291.00"
"6","Cash Only","-","-","-","-","-","-","-","-","8,946.00","-"
"7","Total Accounts Receivables","39,487.00","38,336.00","34,094.00","24,492.00","20,843.00","21,774.00","15,656.00","13,993.00","18,021.00","17,375.00"
"8","Inventories","13,235.00","12,979.00","8,615.00","6,554.00","4,879.00","6,257.00","6,285.00","4,521.00","5,658.00","5,939.00"
"9","Net Property, Plant & Equipment","89,832.00","87,313.00","87,139.00","57,072.00","55,496.00","48,596.00","50,359.00","46,084.00","44,577.00","44,462.00"
"10","Accrued Payable","-","-","-","36,762.00","37,221.00","38,425.00","15,694.00","13,215.00","16,319.00","20,253.00"
"11","Short Term Debt","29,414.00","32,558.00","27,157.00","28,745.00","23,534.00","20,507.00","10,735.00","14,865.00","5,858.00","4,516.00"
"12","Long Term Debt","17,799.00","16,318.00","15,804.00","15,131.00","14,318.00","13,307.00","13,643.00","12,568.00","11,724.00","10,758.00"
"13","Net Operating Cash Flow","2,154.00","(2,433.00)","8,661.00","11,700.00","4,639.00","3,857.00","(19,700.00)","2,122.00","1,184.00","9,519.00"
"14","Capital Expenditures","(352.00)","(210.00)","(451.00)","(6,049.00)","(79.00)","(153.00)","(3,654.00)","(936.00)","(77.00)","(1,274.00)"
"15","Total Shares Outstanding (million)","339,570.05","339,570.05","33,957.01","33,957.00","33,957.00","37,352.70","92,471.60","125,981.39","138,707.33","139,606.38"
