"1","Financial Year","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-12-2020       TTM","31-12-2020       TTM"
"2","Sales/Revenue","437,203.00","455,267.63","489,194.33","505,403.84","498,716.22","577,356.95","597,925.32","607,122.21","589,577.00","589,577.00"
"3","Pretax Income","33,424.00","35,351.00","37,395.23","25,765.43","38,129.43","95,469.95","35,532.54","10,977.03","33,497.00","33,497.00"
"4","Net Income","24,109.00","25,773.41","27,547.46","18,479.01","27,677.73","80,420.54","26,099.89","5,598.38","28,559.00","28,559.00"
"5","Cash & Short-Term Investments","17,297.00","21,933.68","21,751.47","4,223.27","18,336.12","62,687.12","53,038.96","42,796.27","46,438.00","46,438.00"
"6","Cash Only","12,885.00","6,701.23","9,161.28","3,806.00","17,905.05","21,155.25","16,623.49","8,979.20","17,007.25","17,007.25"
"7","Total Accounts Receivables","123,509.00","119,146.16","125,511.94","145,521.06","137,079.46","180,402.44","164,387.93","170,859.96","175,592.75","175,592.75"
"8","Inventories","95,615.00","149,550.82","178,352.77","186,209.19","186,706.28","243,789.14","247,200.38","261,542.52","272,223.75","272,223.75"
"9","Net Property, Plant & Equipment","95,294.00","84,170.36","88,281.73","105,168.26","145,574.40","142,812.72","204,882.94","215,246.84","214,734.00","214,734.00"
"10","Accrued Payable","3,808.00","-","-","-","-","-","-","-","-","-"
"11","Short Term Debt","118,519.00","137,069.72","145,134.66","161,845.03","166,612.02","222,735.47","217,548.34","217,486.66","237,135.75","237,135.75"
"12","Long Term Debt","3,222.00","688.22","4,263.15","5,344.25","18,576.03","13,812.68","50,737.03","64,885.24","62,192.25","62,192.25"
"13","Net Operating Cash Flow","10,557.00","(14,827.96)","5,811.32","6,937.78","39,774.42","(346.43)","17,474.99","15,937.34","15,388.00","15,388.00"
"14","Capital Expenditures","(36,136.00)","(4,759.19)","(4,423.76)","(31,810.59)","(46,747.98)","(22,065.36)","(22,669.28)","(8,617.25)","(13,815.00)","(13,815.00)"
"15","Total Shares Outstanding (million)","310,000.00","310,000.00","310,000.00","310,000.00","310,000.00","310,000.00","310,000.00","310,000.00","310,000.00","310,000.00"
