"1","Financial Year","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-03-2021","30-09-2021       TTM","30-09-2021       TTM"
"2","Sales/Revenue","92,538.76","106,392.80","105,351.74","88,131.51","107,890.00","81,132.00","81,132.00"
"3","Pretax Income","10,589.06","17,580.66","16,198.78","13,113.16","(8,493.00)","(7,582.00)","(7,582.00)"
"4","Net Income","8,452.76","13,871.05","12,135.71","9,121.56","(9,100.00)","(7,582.00)","(7,582.00)"
"5","Cash & Short-Term Investments","28,517.38","13,546.73","17,861.30","16,456.16","9,976.00","19,435.25","19,435.25"
"6","Cash Only","12,928.43","5,119.52","4,798.10","16,456.16","9,976.00","8,295.25","8,295.25"
"7","Total Accounts Receivables","36,220.10","37,134.72","43,000.89","52,883.18","71,154.00","58,841.00","58,841.00"
"8","Inventories","11,645.13","12,722.40","13,329.58","11,428.03","12,727.00","14,363.00","14,363.00"
"9","Net Property, Plant & Equipment","13,430.32","14,931.52","13,754.67","14,312.20","14,436.00","16,985.25","16,985.25"
"10","Accrued Payable","-","-","-","28,192.89","28,441.00","27,875.50","27,875.50"
"11","Short Term Debt","1,639.79","2,837.41","550.42","5,094.49","4,758.00","5,108.75","5,108.75"
"12","Long Term Debt","246.78","242.27","233.74","941.39","2,625.00","4,165.25","4,165.25"
"13","Net Operating Cash Flow","25,096.48","(15,796.55)","10,982.66","(4,124.33)","2,615.00","1,684.00","1,684.00"
"14","Capital Expenditures","(2,398.95)","(3,345.27)","(291.32)","(665.95)","(930.00)","(4,822.00)","(4,822.00)"
"15","Total Shares Outstanding (million)","493,152.00","493,152.00","493,152.00","493,152.00","580,552.00","580,552.00","493,152.00"
