"1","Financial Year","30-06-2009","30-06-2010","30-06-2011","30-06-2012","30-06-2013","30-06-2014","30-06-2015","30-06-2016","30-06-2017"
"2","Sales/Revenue","60,282.00","71,849.06","82,143.00","88,536.98","95,778.15","115,604.19","142,662.99","156,957.16","142,844.01"
"3","Pretax Income","2,239.00","2,321.46","3,671.16","3,256.13","4,503.47","5,269.38","5,095.47","5,056.26","5,929.63"
"4","Net Income","1,732.00","4,470.69","3,655.10","3,978.18","4,029.00","4,419.68","4,070.72","4,911.92","3,627.04"
"5","Cash & Short-Term Investments","5,934.00","5,484.62","13,444.91","2,873.34","5,093.60","1,186.55","1,052.73","5,962.35","8,639.55"
"6","Cash Only","3,121.00","-","2,219.69","2,192.46","3,662.02","1,186.55","1,052.73","5,962.35","8,639.55"
"7","Total Accounts Receivables","13,763.00","17,366.10","24,282.42","18,526.25","10,658.04","14,357.86","54,910.18","70,859.15","65,619.63"
"8","Inventories","15,174.00","15,212.54","15,960.41","11,422.41","13,001.94","11,761.25","11,017.43","10,626.94","10,279.07"
"9","Net Property, Plant & Equipment","66,000.00","72,761.82","76,023.49","109,086.82","131,351.37","166,876.05","168,381.50","166,379.94","162,331.75"
"10","Accrued Payable","748.00","850.24","826.25","975.77","20,661.64","15,850.92","19,520.66","23,500.82","18,042.87"
"11","Short Term Debt","12,123.00","14,706.67","31,709.96","33,251.09","33,603.45","49,904.07","66,068.27","59,923.79","60,900.38"
"12","Long Term Debt","7,755.00","8,624.68","5,176.30","6,528.73","13,760.67","21,027.10","13,719.06","17,116.79","5,574.14"
"13","Net Operating Cash Flow","6,352.00","5,863.17","(9,241.82)","25,808.48","15,861.94","1,183.21","(25,133.40)","(2,320.53)","11,074.30"
"14","Capital Expenditures","(4,036.00)","(3,953.36)","(5,661.72)","(23,045.05)","(8,680.14)","(18,281.92)","(7,500.18)","(11,272.95)","(1,831.05)"
"15","Total Shares Outstanding (million)","60,000.00","60,000.00","60,000.00","60,000.00","60,000.00","65,450.00","89,070.00","100,000.00","104,000.00"
