"1","Financial Year","30-06-2013","30-06-2014","30-06-2015","30-06-2016","30-06-2017","30-06-2018","30-06-2019","30-06-2020","31-12-2020       TTM","31-12-2020       TTM"
"2","Sales/Revenue","24,231.00","30,204.00","34,370.00","44,108.50","35,959.62","35,534.25","44,946.47","51,052.48","47,624.48","47,624.48"
"3","Pretax Income","7,574.00","10,024.00","14,070.00","17,591.87","12,986.89","10,694.21","16,590.82","21,293.69","15,716.69","15,716.69"
"4","Net Income","6,999.00","9,211.00","12,898.00","16,431.99","10,220.44","7,527.30","11,806.73","16,062.06","12,420.06","12,420.06"
"5","Cash & Short-Term Investments","5,869.00","4,815.00","6,485.00","20,181.27","46,385.80","33,143.73","32,428.13","51,136.27","51,019.32","51,019.32"
"6","Cash Only","5,416.00","4,348.00","6,006.00","-","-","-","-","-","-","-"
"7","Total Accounts Receivables","6,148.00","7,166.00","6,366.00","7,633.53","8,097.99","9,738.29","11,590.51","14,501.15","12,587.54","12,587.54"
"8","Inventories","2,374.00","1,574.00","3,312.00","2,627.25","2,776.07","2,949.08","3,471.69","3,902.22","4,207.06","4,207.06"
"9","Net Property, Plant & Equipment","11,663.00","11,174.00","16,217.00","15,788.85","14,438.22","17,005.25","23,207.69","25,467.11","26,457.03","26,457.03"
"10","Short Term Debt","266.00","20.00","-","-","-","-","-","218.60","177.65","177.65"
"11","Long Term Debt","20.00","-","-","-","-","-","-","-","14.00","14.00"
"12","Net Operating Cash Flow","8,029.00","8,536.00","13,894.00","16,227.16","9,655.78","5,406.17","9,650.71","23,323.55","19,641.55","19,641.55"
"13","Capital Expenditures","(570.00)","(320.00)","(2,956.00)","(1,175.28)","(78.06)","(3,184.18)","(6,758.14)","(6,209.31)","(3,088.31)","(3,088.31)"
"14","Total Shares Outstanding (million)","2,799.98","2,799.98","2,799.98","461,997.23","517,996.89","518,000.00","519,030.00","542,322.50","542,322.50","518,000.00"
