"1","Financial Year","30-06-2018       1","30-09-2018       2","31-12-2018       3","31-03-2019       4","30-06-2019       1","30-09-2019       2","31-12-2019       3","31-03-2020       4","30-06-2020       1","30-09-2020       2"
"2","Sales/Revenue","45,616.00","16,125.00","28,304.00","31,685.55","42,740.00","28,293.00","59,311.00","9,429.70","11,096.00","8,703.00"
"3","Pretax Income","9,545.00","1,952.00","10,092.00","9,556.65","16,663.00","15,884.00","24,149.00","(7,915.45)","4,902.00","10,340.00"
"4","Net Income","4,968.00","(654.00)","4,983.00","5,291.87","8,603.00","5,772.00","16,063.00","(8,780.11)","2,160.00","(274.00)"
"5","Cash & Short-Term Investments","165,443.00","161,004.00","156,317.00","136,458.56","179,252.00","142,029.00","140,572.00","135,114.00","131,190.00","107,475.00"
"6","Cash Only","40,180.00","48,067.00","52,091.00","98,004.24","136,299.00","116,120.00","105,406.00","110,996.00","88,277.00","54,647.00"
"7","Total Accounts Receivables","76,535.00","52,031.00","38,228.00","53,855.83","40,293.00","28,687.00","42,473.00","29,459.00","28,953.00","31,406.00"
"8","Inventories","168,072.00","187,849.00","187,060.00","185,444.01","180,432.00","179,576.00","160,814.00","142,811.00","139,454.00","137,481.00"
"9","Net Property, Plant & Equipment","4,444.00","4,141.00","3,621.00","3,463.40","3,088.00","3,343.00","2,966.00","2,665.00","3,077.00","2,893.00"
"10","Accrued Payable","50,134.00","47,869.00","-","25,904.15","26,878.00","18,298.00","19,827.00","27,474.00","20,590.00","17,888.00"
"11","Short Term Debt","41,106.00","45,773.00","45,818.00","50,017.96","44,307.00","35,371.00","40,571.00","55,092.00","48,955.00","48,961.00"
"12","Long Term Debt","74,850.00","72,551.00","70,461.00","67,769.76","68,645.00","-","50,655.00","33,577.00","39,543.00","39,009.00"
"13","Net Operating Cash Flow","(2,472.00)","2,227.00","13,319.00","(10,859.94)","34,161.00","18,547.00","16,261.00","(916.00)","(998.00)","(2,413.00)"
"14","Capital Expenditures","(286.00)","(143.00)","(17.00)","(250.58)","(12.00)","(167.00)","(3.00)","(3.00)","(10.00)","(59.00)"
"15","Total Shares Outstanding (million)","344,283.71","344,283.71","343,368.61","341,020.01","340,811.41","-","334,409.91","330,085.21","328,979.71","328,979.71"
