"1","Financial Year","31-01-2010","31-01-2011","31-01-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019       TTM"
"2","Sales/Revenue","41,866.00","47,226.12","55,396.08","129,058.80","152,147.60","190,264.43","229,436.33","322,574.50","338,711.24","365,113.00"
"3","Pretax Income","8,293.00","2,890.80","417.84","2,842.39","7,508.13","13,014.08","5,122.50","5,759.86","6,092.96","(7,932.00)"
"4","Net Income","6,179.00","3,139.21","1,978.18","1,272.55","3,165.73","5,996.77","159.16","(1,918.20)","(1,422.47)","(5,751.00)"
"5","Cash & Short-Term Investments","3,240.38","6,500.57","1,179.63","6,754.99","5,983.11","6,901.17","21,400.36","14,251.30","15,283.94","11,799.50"
"6","Cash Only","729.87","1,200.57","1,179.63","3,254.99","2,983.11","4,501.71","6,764.49","5,808.77","8,728.46","6,997.00"
"7","Total Accounts Receivables","7,957.68","7,319.33","9,591.18","39,869.89","48,604.34","58,619.27","76,832.29","75,194.19","88,985.34","81,877.50"
"8","Inventories","3,853.06","5,928.85","9,313.22","13,715.10","14,682.49","21,687.82","33,508.56","37,475.13","41,901.95","44,169.50"
"9","Net Property, Plant & Equipment","9,977.96","20,682.34","48,807.34","76,386.13","92,915.97","123,021.29","159,089.29","157,701.91","150,736.04","145,329.25"
"10","Accrued Payable","455.09","803.70","3,670.33","-","15,313.13","24,094.08","29,886.68","-","-","-"
"11","Short Term Debt","601.80","951.00","5,938.36","30,482.39","32,034.38","45,812.86","71,440.58","71,001.83","86,084.99","79,549.50"
"12","Long Term Debt","2,576.48","5,763.92","10,694.72","26,330.19","29,786.81","33,479.80","41,289.11","33,928.53","22,878.66","19,891.50"
"13","Net Operating Cash Flow","5,270.85","2,060.37","(1,553.29)","(355.76)","19,810.37","17,689.52","4,177.95","7,965.05","13,521.46","63,897.00"
"14","Capital Expenditures","(5,070.37)","(11,820.11)","(26,281.17)","(12,587.29)","(17,632.43)","(32,096.96)","(30,709.94)","(13,866.08)","(14,025.65)","(14,722.00)"
"15","Total Shares Outstanding (million)","217,424.00","314,997.90","329,998.00","352,498.24","352,498.24","379,020.12","483,259.80","506,359.80","531,359.80","531,359.80"
