"1","Financial Year","30-06-2017       Other","30-09-2017       Other","31-12-2017       1","31-03-2018       2","30-06-2018       3","30-09-2018       4","31-12-2018       1","31-03-2019       2","30-06-2019       3","30-09-2019       4"
"2","Sales/Revenue","85,735.00","90,142.32","67,617.00","69,457.00","91,151.00","80,478.00","109,014.00","121,609.00","54,462.00","106,645.00"
"3","Pretax Income","1,766.00","4,994.04","3,544.00","3,606.00","3,261.00","7,930.00","5,717.00","6,205.00","(19,511.00)","(444,067.00)"
"4","Net Income","1,406.00","1,450.05","2,852.00","2,000.00","2,389.00","6,417.00","4,940.00","5,930.00","(19,709.00)","(443,186.00)"
"5","Cash & Short-Term Investments","74,325.00","67,824.29","53,809.00","50,751.00","60,670.00","19,710.00","13,194.00","8,843.00","10,112.00","885.00"
"6","Cash Only","74,325.00","67,824.29","53,809.00","50,751.00","60,670.00","19,403.00","13,194.00","8,843.00","10,112.00","885.00"
"7","Total Accounts Receivables","179,545.00","212,149.27","201,631.00","193,522.00","188,537.00","289,058.00","253,903.00","325,214.00","297,939.00","8,028.00"
"8","Inventories","14,804.00","16,045.11","19,967.00","25,406.00","21,598.00","26,891.00","23,396.00","20,750.00","18,415.00","6,029.00"
"9","Net Property, Plant & Equipment","388,615.00","406,657.20","402,404.00","398,593.00","394,680.00","440,714.00","436,045.00","451,713.00","446,812.00","461,160.00"
"10","Accrued Payable","-","11,079.58","26,942.00","18,759.00","16,346.00","-","23,997.00","59,192.00","31,873.00","126,529.00"
"11","Short Term Debt","144,672.00","176,957.00","150,087.00","147,450.00","143,666.00","290,069.00","220,276.00","261,188.00","284,169.00","304,595.00"
"12","Long Term Debt","110,675.00","110,964.44","108,359.00","107,744.00","108,471.00","96,779.00","108,942.00","108,744.00","90,060.00","89,463.00"
"13","Net Operating Cash Flow","29,046.00","(97,829.29)","15,636.00","314.00","13,085.00","(41,559.00)","48,046.00","(24,538.00)","(12,545.00)","(49,120.00)"
"14","Capital Expenditures","(21,208.00)","11,618.10","(176.00)","(120.00)","(109.00)","(58,662.00)","(133.00)","(20,527.00)","132.00","(19,172.00)"
"15","Total Shares Outstanding (million)","186,534.00","186,533.79","233,167.24","233,167.24","233,167.24","249,417.50","256,483.49","256,483.44","275,283.44","290,783.44"
