"1","Financial Year","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       Other","30-06-2021       1","30-09-2021       2","31-12-2021       3"
"2","Sales/Revenue","8,798.00","9,478.98","9,794.00","10,509.00","11,938.00","12,601.00","12,964.50","15,115.00","15,092.00","16,784.00"
"3","Pretax Income","(1,264.00)","(3,409.43)","(188.00)","259.00","(1,031.00)","(916.00)","(792.11)","(48.00)","(3,912.00)","2,464.00"
"4","Net Income","(2,182.00)","(4,139.54)","(1,071.00)","(766.00)","(1,752.00)","(2,117.00)","(2,060.02)","(1,131.00)","(4,796.00)","(198.00)"
"5","Cash & Short-Term Investments","14,136.00","16,857.00","10,759.00","11,699.00","7,825.00","11,843.00","14,609.00","15,573.00","11,214.00","18,065.00"
"6","Total Accounts Receivables","24,992.00","20,867.00","22,640.00","22,299.00","27,290.00","27,206.00","28,254.00","33,401.00","31,572.00","29,172.00"
"7","Inventories","2,213.00","1,430.00","1,453.00","1,489.00","1,385.00","1,053.00","797.00","785.00","985.00","973.00"
"8","Net Property, Plant & Equipment","5,225.00","4,982.00","6,356.00","6,143.00","5,687.00","5,911.00","6,193.00","5,463.00","6,429.00","5,869.00"
"9","Accrued Payable","15,379.00","15,075.00","15,736.00","16,910.00","19,494.00","18,681.00","19,471.00","20,978.00","19,637.00","22,515.00"
"10","Short Term Debt","130.00","132.00","813.00","817.00","788.00","448.00","909.00","718.00","656.00","598.00"
"11","Long Term Debt","457.00","420.00","1,532.00","1,520.00","1,102.00","1,230.00","1,065.00","809.00","828.00","693.00"
"12","Net Operating Cash Flow","333.00","138.00","(1,895.00)","1,800.00","(4,249.00)","(97.00)","2,026.00","(3,389.00)","(2,561.00)","8,146.00"
"13","Capital Expenditures","(350.00)","(8.00)","(1,225.00)","(276.00)","143.00","(1,033.00)","(3,050.00)","(263.00)","(1,884.00)","(358.00)"
"14","Total Shares Outstanding (million)","584,288.82","642,717.62","642,717.62","642,717.62","642,717.62","642,717.62","771,260.62","852,242.99","893,626.07","893,626.07"
