"1","Financial Year","30-06-2019       2","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       1","30-06-2021       2","30-09-2021       3"
"2","Sales/Revenue","68,634.00","58,480.00","66,109.00","54,042.00","51,990.00","58,601.00","51,080.00","60,086.00","77,515.00","83,393.00"
"3","Pretax Income","3,098.00","2,635.00","(735.00)","(6,392.00)","(926.00)","1,021.00","(6,590.00)","(4,658.00)","7,500.00","(4,096.00)"
"4","Net Income","1,981.00","2,139.00","(1,898.00)","(6,440.00)","(675.00)","646.00","(6,608.00)","(4,155.00)","7,604.00","(2,898.00)"
"5","Cash & Short-Term Investments","19,383.00","12,735.00","15,034.00","17,031.00","17,716.00","22,893.00","23,582.00","22,791.00","30,954.00","23,864.00"
"6","Cash Only","19,383.00","12,735.00","15,034.00","17,030.00","17,715.00","22,892.00","23,581.00","22,790.00","30,953.00","23,863.00"
"7","Total Accounts Receivables","139,494.00","128,493.00","118,357.00","102,716.00","102,858.00","85,403.00","84,366.00","89,336.00","90,091.00","91,883.00"
"8","Inventories","129,414.00","129,882.00","125,696.00","126,392.00","125,373.00","123,497.00","120,730.00","121,724.00","120,964.00","120,359.00"
"9","Net Property, Plant & Equipment","247,550.00","246,036.00","242,215.00","239,976.00","237,311.00","235,052.00","227,452.00","225,456.00","222,939.00","220,582.00"
"10","Accrued Payable","54,190.00","46,926.00","47,934.00","46,354.00","51,596.00","36,535.00","36,356.00","37,864.00","36,174.00","37,398.00"
"11","Short Term Debt","76,378.00","72,497.00","71,155.00","74,626.00","72,425.00","66,765.00","70,942.00","74,856.00","71,468.00","64,581.00"
"12","Long Term Debt","34,138.00","29,603.00","24,249.00","22,097.00","22,429.00","19,648.00","15,474.00","13,489.00","11,059.00","12,029.00"
"13","Net Operating Cash Flow","8,036.00","4,974.00","8,453.00","8,343.00","1,411.00","11,665.00","674.00","(1,893.00)","(2,333.00)","(1,043.00)"
"14","Capital Expenditures","(753.00)","(528.00)","199.00","(24.00)","(19.00)","(271.00)","(390.00)","(550.00)","(111.00)","(15.00)"
"15","Total Shares Outstanding (million)","469,211.56","461,240.16","491,724.37","434,006.16","462,937.91","502,971.06","499,712.66","498,858.67","485,186.51","467,679.51"
